,,,,,,Tackles,,,,,Vs Dribbles,,,,Blocks,,,,,,
Rk,Player,Nation,Pos,Squad,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
1,Luis Abram,pe PER,DF,Granada,6.2,6,3,3,3,0,2,4,50,2,6,5,1,5,11,37,1
2,Marcos Acuña,ar ARG,DF,Sevilla,25.1,50,29,27,14,9,30,47,63.8,17,22,5,17,14,64,25,1
3,Martin Agirregabiria,es ESP,DF,Alavés,18,34,22,17,11,6,18,37,48.6,19,20,3,17,25,59,38,0
4,Julen Agirrezabala,es ESP,GK,Athletic Club,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
5,Sergio Agüero,ar ARG,FW,Barcelona,1.7,1,1,0,0,1,0,2,0,2,0,0,0,0,1,0,0
6,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
7,Joseph Aidoo,gh GHA,DF,Celta Vigo,29.3,39,26,28,10,1,17,31,54.8,14,23,13,10,38,77,96,3
8,Carlos Akapo,gq EQG,DF,Cádiz,20.5,43,31,26,15,2,21,37,56.8,16,26,7,19,51,94,61,0
9,Ilias Akhomach,es ESP,FW,Barcelona,1.4,2,0,0,1,1,0,0,,0,0,0,0,0,2,0,0
10,Paul Akouokou,ci CIV,MF,Betis,5.7,14,9,5,7,2,8,12,66.7,4,6,0,6,11,25,6,0
11,David Alaba,at AUT,DF,Real Madrid,29.4,23,13,15,6,2,9,19,47.4,10,26,15,11,22,45,70,1
12,Tomás Alarcón,cl CHI,MF,Cádiz,15.8,31,20,17,10,4,10,31,32.3,21,19,7,12,30,61,31,0
13,Jordi Alba,es ESP,DF,Barcelona,29.4,47,34,12,26,9,27,47,57.4,20,26,6,20,33,80,41,1
14,Raúl Albiol,es ESP,DF,Villarreal,27.4,26,15,20,5,1,14,18,77.8,4,24,15,9,21,47,126,1
15,Paco Alcácer,es ESP,FW,Villarreal,8.7,9,3,2,4,3,1,5,20,4,7,0,7,6,15,1,0
16,Rubén Alcaraz,es ESP,MF,Cádiz,12.3,41,20,14,24,3,22,45,48.9,23,10,2,8,13,54,14,0
17,Omar Alderete,py PAR,DF,Valencia,26.7,53,34,34,17,2,34,53,64.2,19,30,18,12,35,88,153,0
18,Iván Alejo,es ESP,"MF,FW",Cádiz,11.8,33,15,21,10,2,15,44,34.1,29,12,0,12,8,41,17,0
