,,,,,,Tackles,,,,,Vs Dribbles,,,,Blocks,,,,,,
Rk,Player,Nation,Pos,Squad,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
1,Antonio Adán,es ESP,GK,Atlético Madrid,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2,Aritz Aduriz,es ESP,"FW,MF",Athletic Club,2.3,3,2,0,3,0,0,0,,0,0,0,0,0,3,2,0
3,Lumor Agbenyenu,gh GHA,DF,Mallorca,20.1,31,21,19,9,3,16,35,45.7,19,13,2,11,21,52,66,1
4,Martin Agirregabiria,es ESP,DF,Alavés,23.3,55,30,32,18,5,30,54,55.6,24,19,7,12,18,73,48,0
5,Joseph Aidoo,gh GHA,DF,Celta Vigo,27.8,43,27,30,11,2,13,27,48.1,14,31,14,17,45,88,124,3
6,Jordi Alba,es ESP,DF,Barcelona,24.3,20,13,9,7,4,6,27,22.2,21,12,3,9,37,57,40,0
7,Raúl Albiol,es ESP,DF,Villarreal,36,43,23,27,16,0,18,27,66.7,9,29,21,8,42,85,175,2
8,Paco Alcácer,es ESP,FW,Villarreal,10.3,3,3,2,1,0,1,7,14.3,6,4,1,3,2,5,10,0
9,Rubén Alcaraz,es ESP,MF,Valladolid,21.4,61,30,37,20,4,30,63,47.6,33,46,15,31,15,76,41,0
10,Álex Alegría,es ESP,FW,Mallorca,1.2,1,0,1,0,0,0,0,,0,2,0,2,0,1,0,0
11,Carles Aleñá,es ESP,MF,Barcelona,1.9,2,1,1,1,0,1,4,25,3,1,0,1,0,2,0,0
12,Carles Aleñá,es ESP,"MF,FW",Betis,8.2,14,9,5,7,2,3,17,17.6,14,4,1,3,1,15,3,0
13,Sergio Álvarez,es ESP,"MF,DF",Eibar,12.7,37,22,11,24,2,8,24,33.3,16,16,2,14,17,54,26,1
14,Sergio Álvarez,es ESP,GK,Celta Vigo,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
15,Yeray Álvarez,es ESP,DF,Athletic Club,31.2,36,19,28,7,1,17,30,56.7,13,33,22,11,62,98,138,2
16,Ibrahim Amadou,fr FRA,MF,Leganés,8.6,16,9,5,9,2,4,11,36.4,7,5,0,5,12,28,6,0
17,Amath,sn SEN,MF,Getafe,0.7,2,1,1,1,0,0,5,0,5,2,0,2,0,2,0,0
18,Miguel Ángel Guerrero,es ESP,FW,Leganés,8.8,1,0,0,1,0,1,10,10,9,4,0,4,2,3,4,0
19,José Ángel,es ESP,DF,Eibar,26.2,54,31,26,25,3,26,43,60.5,17,23,7,16,33,87,61,1
20,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,13,0,0,0,0,0,0,1,0,1,0,0,0,1,1,6,2
21,Antoñito,es ESP,"DF,MF",Valladolid,11.4,26,18,19,7,0,12,20,60,8,9,0,9,15,41,20,1
22,Vitorino Antunes,pt POR,MF,Getafe,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
23,Anuar,ma MAR,"MF,FW",Valladolid,2.1,4,2,1,2,1,2,6,33.3,4,7,3,4,5,9,0,0
24,Mauro Arambarri,uy URU,MF,Getafe,34.1,72,33,24,40,8,31,69,44.9,38,52,5,47,43,115,40,2
25,Néstor Araujo,mx MEX,DF,Celta Vigo,32.1,44,27,35,8,1,22,36,61.1,14,26,18,8,52,96,142,0
26,Ronald Araújo,uy URU,DF,Barcelona,2.6,3,2,2,1,0,1,1,100,0,6,2,4,0,3,9,0
27,Anaitz Arbilla,es ESP,DF,Eibar,22.3,33,20,23,8,2,16,34,47.1,18,20,4,16,29,62,82,0
28,Alphonse Areola,fr FRA,GK,Real Madrid,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
29,Santiago Arias,co COL,DF,Atlético Madrid,12,36,24,20,12,4,10,18,55.6,8,12,7,5,19,55,20,1
30,José Arnaiz,es ESP,"FW,MF",Osasuna,8.8,3,2,0,2,1,0,12,0,12,7,0,7,5,8,5,0
31,José Arnaiz,es ESP,MF,Leganés,3.7,3,0,1,2,0,2,5,40,3,4,0,4,2,5,1,0
32,Sergio Asenjo,es ESP,GK,Villarreal,34,0,0,0,0,0,0,2,0,2,0,0,0,1,1,15,1
33,Marco Asensio,es ESP,FW,Real Madrid,3.7,4,3,3,1,0,1,4,25,3,2,0,2,1,5,4,0
