,,,,,,Tackles,,,,,Vs Dribbles,,,,Blocks,,,,,,
34,Iago Aspas,es ESP,FW,Celta Vigo,36.2,29,19,7,9,13,12,45,26.7,33,16,1,15,22,51,7,0
35,Roger Assalé,ci CIV,"FW,MF",Leganés,5.9,3,2,1,0,2,1,9,11.1,8,8,0,8,0,3,1,0
36,Miguel Atienza,es ESP,MF,Eibar,0.3,1,1,0,1,0,1,2,50,1,1,1,0,2,3,1,0
37,Ezequiel Ávila,ar ARG,FW,Osasuna,17.7,17,12,6,7,4,6,18,33.3,12,12,0,12,3,20,5,0
38,Javier Avilés,es ESP,"MF,FW",Leganés,2,9,7,2,7,0,2,4,50,2,3,0,3,3,12,1,0
39,Chidozie Awaziem,ng NGA,DF,Leganés,22.2,34,22,29,5,0,16,27,59.3,11,26,15,11,28,62,73,1
40,Ramon Azeez,ng NGA,MF,Granada,15.1,11,8,2,8,1,7,19,36.8,12,8,2,6,19,30,11,1
41,Iddrisu Baba,gh GHA,MF,Mallorca,32.3,59,37,26,29,4,20,70,28.6,50,31,8,23,39,98,42,0
42,Carlos Bacca,co COL,FW,Villarreal,7.6,5,1,1,2,2,2,6,33.3,4,4,0,4,0,5,7,0
43,Alex Baena,es ESP,MF,Villarreal,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
44,Gareth Bale,wls WAL,"FW,MF",Real Madrid,12.1,9,5,5,2,2,3,14,21.4,11,8,2,6,6,15,9,0
45,Mikel Balenziaga,es ESP,DF,Athletic Club,6.3,15,10,4,10,1,9,11,81.8,2,4,1,3,2,17,20,0
46,Éver Banega,ar ARG,MF,Sevilla,27.5,43,28,16,18,9,21,70,30,49,19,1,18,15,58,5,0
47,Federico Barba,it ITA,DF,Valladolid,5,12,6,10,2,0,7,9,77.8,2,5,2,3,8,20,12,0
48,Enis Bardhi,mk MKD,MF,Levante,23.5,24,11,7,15,2,8,35,22.9,27,15,4,11,15,39,19,0
49,Kike Barja,es ESP,"MF,FW",Osasuna,3.5,1,1,1,0,0,1,1,100,0,3,1,2,0,1,2,0
50,Antonio Barragán,es ESP,DF,Betis,7.1,7,5,4,2,1,3,6,50,3,2,2,0,8,15,22,0
51,Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,4.9,12,9,5,5,2,4,10,40,6,3,0,3,3,15,4,0
52,Marc Bartra,es ESP,"DF,MF",Betis,28,62,34,39,23,0,27,54,50,27,45,24,21,35,97,127,0
53,Gil Bastião Dias,pt POR,"MF,DF",Granada,4,19,14,10,6,3,7,17,41.2,10,4,1,3,3,22,7,0
54,Fran Beltrán,es ESP,MF,Celta Vigo,20.3,31,19,15,12,4,11,35,31.4,24,14,1,13,14,45,17,0
55,Hatem Ben Arfa,fr FRA,"MF,FW",Valladolid,1.8,0,0,0,0,0,0,4,0,4,1,0,1,0,0,0,0
56,Karim Benzema,fr FRA,FW,Real Madrid,34.9,18,8,3,11,4,2,16,12.5,14,16,4,12,7,25,30,1
57,Yuri Berchiche,es ESP,DF,Athletic Club,31.7,48,35,32,15,1,21,40,52.5,19,26,4,22,30,78,73,1
58,Markel Bergara,es ESP,MF,Getafe,0.8,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
59,Sergio Bermejo,es ESP,"MF,FW",Celta Vigo,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
60,Pedro Bigas,es ESP,DF,Eibar,19.7,18,9,11,7,0,9,19,47.4,10,16,10,6,36,54,82,0
61,Rubén Blanco,es ESP,GK,Celta Vigo,32.9,1,1,1,0,0,1,1,100,0,0,0,0,0,1,14,1
62,Pablo de Blasis,ar ARG,"DF,MF",Eibar,17.8,41,32,22,13,6,30,63,47.6,33,13,0,13,24,65,21,0
63,Alejandro Blesa,es ESP,MF,Levante,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
64,Yassine Bounou,ma MAR,GK,Sevilla,5.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
65,Filip Bradari?,hr CRO,MF,Celta Vigo,7.8,12,9,5,5,2,3,8,37.5,5,12,3,9,17,29,19,0
66,Martin Braithwaite,dk DEN,"FW,MF",Barcelona,4.5,2,2,2,0,0,0,8,0,8,3,0,3,1,3,1,0
67,Martin Braithwaite,dk DEN,"FW,MF",Leganés,21.5,13,7,4,5,4,4,12,33.3,8,10,2,8,4,17,9,0
68,Brandon,es ESP,FW,Osasuna,4.5,5,3,1,3,1,0,5,0,5,4,0,4,0,5,1,0
69,Darko Brasanac,rs SRB,MF,Osasuna,24.9,45,25,14,26,5,15,41,36.6,26,19,4,15,20,65,21,0
70,Yan Brice Eteki,cm CMR,MF,Granada,16.7,37,21,14,18,5,15,31,48.4,16,17,4,13,24,61,20,1
71,Bryan,es ESP,"MF,FW",Leganés,6.2,8,4,3,4,1,1,8,12.5,7,6,0,6,3,11,1,0
72,Bryan,es ESP,FW,Sevilla,0.7,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0
73,Ante Budimir,hr CRO,FW,Mallorca,30.7,31,15,4,22,5,7,29,24.1,22,21,4,17,8,39,29,0
74,Esteban Burgos,ar ARG,DF,Eibar,12.4,11,9,9,2,0,5,9,55.6,4,11,6,5,17,28,66,2
75,Burgui,es ESP,MF,Alavés,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
76,Oliver Burke,sct SCO,"MF,FW",Alavés,15.9,19,14,8,9,2,10,23,43.5,13,24,0,24,8,27,16,0
77,Sergio Busquets,es ESP,MF,Barcelona,27.6,80,44,23,43,14,41,71,57.7,30,36,5,31,44,124,24,2
78,Unai Bustinza,es ESP,DF,Leganés,29.8,66,40,40,19,7,32,53,60.4,21,30,9,21,65,131,77,0
79,Erick Cabaco,uy URU,DF,Getafe,3,3,2,1,2,0,0,3,0,3,1,1,0,3,6,11,0
80,Erick Cabaco,uy URU,DF,Levante,9,12,9,9,3,0,4,6,66.7,2,12,7,5,12,24,50,1
81,Ariday Cabrera,es ESP,MF,Mallorca,0.4,1,1,1,0,0,0,1,0,1,2,0,2,0,1,0,0
82,Leandro Cabrera,uy URU,DF,Getafe,17,10,6,5,5,0,5,12,41.7,7,10,4,6,21,31,66,0
83,Leandro Cabrera,uy URU,DF,Espanyol,17,27,11,17,9,1,17,28,60.7,11,19,12,7,21,48,78,1
84,Fernando Calero,es ESP,DF,Espanyol,11.6,14,9,10,4,0,7,15,46.7,8,13,5,8,8,22,42,1
85,Jonathan Calleri,ar ARG,FW,Espanyol,20.1,12,8,6,4,2,3,24,12.5,21,11,3,8,7,19,22,0
86,Víctor Camarasa,es ESP,MF,Alavés,14.4,18,10,5,10,3,7,18,38.9,11,8,3,5,15,33,12,0
87,Sergio Camello,es ESP,FW,Atlético Madrid,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
88,José Campaña,es ESP,MF,Levante,35.1,38,25,15,13,10,13,53,24.5,40,30,5,25,44,82,42,2
89,Xisco Campos,es ESP,DF,Mallorca,5.3,7,4,5,2,0,5,9,55.6,4,8,5,3,11,18,23,0
90,Víctor Campuzano,es ESP,FW,Espanyol,9.7,12,9,1,6,5,3,19,15.8,16,8,0,8,2,14,4,0
91,Sergio Canales,es ESP,"MF,FW",Betis,35.1,25,16,14,6,5,7,28,25,21,30,1,29,13,38,16,0
92,Ander Capa,es ESP,DF,Athletic Club,31.9,64,36,37,21,6,24,59,40.7,35,26,7,19,28,92,63,0
93,Marc Cardona,es ESP,FW,Osasuna,7.8,1,0,0,1,0,0,8,0,8,3,1,2,2,3,2,0
94,Diego Carlos,br BRA,DF,Sevilla,34.8,35,23,25,9,1,15,25,60,10,33,24,9,37,72,176,1
95,Yannick Carrasco,be BEL,"MF,FW",Atlético Madrid,7,11,7,4,4,3,7,21,33.3,14,9,0,9,5,16,2,0
96,Daniel Carriço,pt POR,DF,Sevilla,9.4,8,2,4,3,1,1,6,16.7,5,4,3,1,8,16,23,0
97,Guido Carrillo,ar ARG,FW,Leganés,13.5,13,10,3,6,4,2,14,14.3,12,9,1,8,3,16,22,0
98,Dani Carvajal,es ESP,DF,Real Madrid,30.4,65,46,33,25,7,23,42,54.8,19,43,14,29,36,101,53,0
99,William Carvalho,pt POR,MF,Betis,9.9,7,4,4,2,1,4,14,28.6,10,7,5,2,4,11,8,1
100,Casemiro,br BRA,MF,Real Madrid,34.3,96,60,43,45,8,39,99,39.4,60,53,10,43,68,164,72,0
101,Santi Cazorla,es ESP,MF,Villarreal,27.2,48,25,14,21,13,20,57,35.1,37,23,1,22,19,67,16,2
102,Sofian Chakla,ma MAR,DF,Villarreal,2,0,0,0,0,0,0,1,0,1,2,1,1,3,3,7,1
103,Charles,br BRA,FW,Eibar,14.5,10,5,0,6,4,4,22,18.2,18,7,2,5,7,17,6,0
104,Pablo Chavarría,ar ARG,"FW,MF",Mallorca,2.3,1,1,0,1,0,0,4,0,4,1,1,0,1,2,2,0
105,Pape Cheikh Diop,sn SEN,MF,Celta Vigo,6.7,10,4,6,3,1,2,12,16.7,10,4,2,2,5,15,3,0
106,Chema,es ESP,DF,Getafe,3.4,4,3,1,3,0,1,2,50,1,1,0,1,5,9,12,0
107,Denis Cheryshev,ru RUS,"MF,FW",Valencia,10.3,16,9,5,4,7,3,17,17.6,14,15,1,14,7,23,10,0
108,Samuel Chukwueze,ng NGA,"FW,MF",Villarreal,22.8,23,14,12,6,5,13,30,43.3,17,15,1,14,10,33,14,1
109,Churripi,es ESP,GK,Valladolid,2.7,1,1,1,0,0,1,1,100,0,0,0,0,0,1,2,0
110,Jasper Cillessen,nl NED,GK,Valencia,23.3,0,0,0,0,0,0,1,0,1,0,0,0,3,3,3,1
111,Óscar Clemente,es ESP,MF,Atlético Madrid,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
112,Carlos Clerc,es ESP,DF,Levante,20.5,28,16,14,13,1,12,20,60,8,22,9,13,22,50,61,0
113,Coke,es ESP,DF,Levante,11,25,18,14,8,3,14,30,46.7,16,9,2,7,13,38,19,0
114,Álex Collado,es ESP,FW,Barcelona,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
115,Francis Coquelin,fr FRA,MF,Valencia,21.2,37,21,25,11,1,16,38,42.1,22,19,9,10,38,75,25,0
116,Sébastien Corchia,fr FRA,DF,Espanyol,3,2,1,2,0,0,2,4,50,2,5,2,3,5,7,8,0
117,Iñigo Córdoba,es ESP,FW,Athletic Club,16,33,20,16,12,5,14,52,26.9,38,30,2,28,16,49,13,0
118,Ángel Correa,ar ARG,"MF,FW",Atlético Madrid,22.9,25,9,7,9,9,9,36,25,27,23,5,18,14,39,21,0
119,Rober Correa,es ESP,DF,Eibar,10.3,13,6,8,3,2,6,10,60,4,6,4,2,16,29,31,0
120,Thierry Correia,pt POR,DF,Valencia,2.9,8,3,5,3,0,1,2,50,1,5,0,5,2,10,10,0
121,Antonio Cortés,es ESP,"FW,MF",Granada,2,1,1,0,1,0,0,1,0,1,0,0,0,0,1,2,0
122,Diego Costa,es ESP,FW,Atlético Madrid,15,9,5,1,4,4,1,10,10,9,4,2,2,3,12,10,0
123,Jaume Costa,es ESP,DF,Valencia,15.4,27,23,17,8,2,14,28,50,14,11,6,5,24,51,52,1
124,David Costas,es ESP,DF,Celta Vigo,3.8,4,3,3,1,0,2,4,50,2,3,3,0,8,12,12,0
125,Thibaut Courtois,be BEL,GK,Real Madrid,34,0,0,0,0,0,0,2,0,2,0,0,0,2,2,18,2
126,Sebastián Cristóforo,uy URU,MF,Eibar,9.7,35,19,11,14,10,13,32,40.6,19,25,3,22,8,43,2,0
127,Cucho,co COL,"FW,MF",Mallorca,16.5,15,8,6,8,1,6,21,28.6,15,14,1,13,10,25,15,0
128,Marc Cucurella,es ESP,"MF,DF",Getafe,36,74,51,23,38,13,24,76,31.6,52,58,8,50,36,110,28,1
129,Iván Cuéllar,es ESP,GK,Leganés,27,0,0,0,0,0,0,2,0,2,0,0,0,0,0,28,2
130,Moanes Dabbur,il ISR,FW,Sevilla,0.3,1,1,0,0,1,0,0,,0,1,0,1,0,1,0,0
131,Sergi Darder,es ESP,MF,Espanyol,29.5,47,23,11,26,10,17,58,29.3,41,30,1,29,24,71,23,1
132,Ousmane Dembélé,fr FRA,FW,Barcelona,4,2,2,1,1,0,2,5,40,3,4,0,4,0,2,0,1
133,Deyverson,br BRA,FW,Getafe,2.3,0,0,0,0,0,0,1,0,1,2,1,1,0,0,5,0
134,Mouctar Diakhaby,gn GUI,DF,Valencia,16,11,8,7,3,1,5,8,62.5,3,17,15,2,11,22,73,0
135,Brahim Díaz,es ESP,FW,Real Madrid,0.7,1,0,0,1,0,0,2,0,2,2,0,2,0,1,0,0
136,Víctor Díaz,es ESP,DF,Granada,32,74,43,38,31,5,31,60,51.7,29,53,23,30,48,122,94,1
137,Papakouli Diop,sn SEN,MF,Eibar,25,39,26,13,22,4,18,42,42.9,24,24,7,17,34,73,38,0
138,Djené,tg TOG,DF,Getafe,34,42,32,27,15,0,17,30,56.7,13,20,7,13,34,76,105,1
139,Naïs Djouahra,fr FRA,FW,Real Sociedad,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
140,Marko Dmitrovi?,rs SRB,GK,Eibar,35,3,2,3,0,0,3,5,60,2,1,0,1,3,6,24,0
141,Jaume Doménech,es ESP,GK,Valencia,14.7,0,0,0,0,0,0,1,0,1,0,0,0,1,1,3,1
142,Domingos Duarte,pt POR,DF,Granada,34.3,30,19,24,5,1,11,20,55,9,34,24,10,34,64,153,1
143,Óscar Duarte,cr CRC,DF,Levante,5.4,12,3,11,1,0,3,4,75,1,7,6,1,6,18,29,0
144,Rubén Duarte,es ESP,DF,Alavés,29.6,61,32,30,28,3,34,60,56.7,26,30,8,22,47,108,71,0
145,Hugo Duro,es ESP,"FW,MF",Getafe,4.2,6,5,2,2,2,4,8,50,4,3,0,3,1,7,3,0
146,Aritz Elustondo,es ESP,DF,Real Sociedad,16.8,28,17,19,8,1,13,23,56.5,10,21,8,13,15,43,67,0
147,Rodrigo Ely,br BRA,DF,Alavés,23.6,22,13,15,7,0,13,29,44.8,16,23,19,4,32,54,116,0
148,Adri Embarba,es ESP,"MF,FW",Espanyol,15.2,37,22,16,16,5,16,33,48.5,17,28,4,24,16,53,11,0
149,Emerson,br BRA,DF,Betis,31.5,74,46,49,19,6,36,79,45.6,43,30,9,21,31,105,57,1
150,Youssef En-Nesyri,ma MAR,FW,Leganés,15.4,9,7,1,2,6,3,17,17.6,14,15,2,13,5,14,22,0
151,Youssef En-Nesyri,ma MAR,FW,Sevilla,8.8,7,5,1,6,0,3,10,30,7,9,3,6,5,12,7,0
152,Sergi Enrich,es ESP,FW,Eibar,20.7,17,6,4,8,5,4,21,19,17,16,2,14,9,26,12,0
153,Javier Eraso,es ESP,MF,Leganés,9.1,11,5,4,5,2,5,15,33.3,10,5,0,5,7,18,5,0
154,Gonzalo Escalante,ar ARG,MF,Eibar,18.6,41,22,15,17,9,24,41,58.5,17,22,4,18,29,70,14,0
155,Aarón Escandell,es ESP,GK,Granada,3,1,1,1,0,0,1,1,100,0,0,0,0,0,1,0,0
156,Sergio Escudero,es ESP,DF,Sevilla,8.6,29,16,17,10,2,19,28,67.9,9,11,1,10,13,42,35,0
157,Bernardo Espinosa,co COL,DF,Espanyol,25.1,24,16,18,4,2,16,28,57.1,12,19,11,8,24,48,108,2
158,Vicente Esquerdo,es ESP,"MF,FW",Valencia,0.2,1,0,1,0,0,0,0,,0,1,0,1,0,1,1,0
159,Pervis Estupiñán,ec ECU,DF,Osasuna,33.1,84,45,53,27,4,42,77,54.5,35,30,7,23,58,142,61,6
160,Oghenekaro Etebo,ng NGA,MF,Getafe,6.4,12,4,5,7,0,7,12,58.3,5,10,1,9,11,23,4,1
161,Beñat Etxebarria,es ESP,MF,Athletic Club,4.4,6,1,2,3,1,2,13,15.4,11,6,1,5,4,10,6,0
162,Xabier Etxeita,es ESP,DF,Getafe,16.1,20,11,11,9,0,12,23,52.2,11,9,5,4,17,37,68,0
163,Edu Expósito,es ESP,MF,Eibar,25.7,52,28,12,31,9,18,49,36.7,31,20,6,14,31,83,18,1
164,Fabricio,es ESP,GK,Mallorca,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1
165,Fayçal Fajr,ma MAR,MF,Getafe,4.5,1,1,0,1,0,0,3,0,3,4,0,4,4,5,1,0
166,Eliseo Falcon,es ESP,DF,Levante,0.8,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
167,Ansu Fati,es ESP,FW,Barcelona,11.4,16,8,4,7,5,5,15,33.3,10,14,1,13,8,24,3,0
168,Aleix Febas,es ESP,"MF,FW",Mallorca,18.8,36,24,13,19,4,12,36,33.3,24,15,0,15,17,53,6,0
169,Zouhair Feddal,ma MAR,DF,Betis,15.9,20,13,14,5,1,10,14,71.4,4,15,9,6,23,43,74,0
170,Ljubomir Fejsa,rs SRB,MF,Alavés,8.7,19,13,8,10,1,6,23,26.1,17,8,1,7,6,25,13,0
171,Nabil Fekir,fr FRA,"MF,FW",Betis,29.3,41,26,14,19,8,12,37,32.4,25,27,3,24,10,51,3,0
172,Felipe,br BRA,DF,Atlético Madrid,23.4,27,19,21,6,0,14,24,58.3,10,18,13,5,40,67,130,0
173,João Félix,pt POR,"FW,MF",Atlético Madrid,19.4,9,3,3,3,3,4,14,28.6,10,4,0,4,10,19,4,1
174,Matheus Fernandes,br BRA,"MF,FW",Valladolid,1.8,6,2,2,2,2,3,5,60,2,4,0,4,2,8,2,0
175,Aitor Fernández,es ESP,GK,Levante,36,1,1,1,0,0,1,1,100,0,0,0,0,2,3,18,3
176,Andrés Fernández,es ESP,GK,Villarreal,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
177,Carlos Fernández,es ESP,"FW,MF",Granada,24.5,24,15,7,11,6,3,32,9.4,29,25,2,23,11,35,30,0
178,Gabriel Fernández,uy URU,"FW,MF",Celta Vigo,6.2,1,0,0,1,0,1,3,33.3,2,5,1,4,2,3,2,0
179,Joaquín Fernández,es ESP,"MF,DF",Valladolid,18.4,30,24,17,10,3,9,30,30,21,14,10,4,32,62,57,0
180,Fernando,br BRA,MF,Sevilla,29.5,62,33,37,24,1,34,58,58.6,24,38,15,23,67,129,73,1
181,Facundo Ferreyra,ar ARG,"FW,MF",Espanyol,6.4,9,4,4,5,0,3,10,30,7,4,0,4,2,11,5,0
182,Junior Firpo,es ESP,DF,Barcelona,11.3,23,15,12,8,3,11,17,64.7,6,15,3,12,17,40,12,1
183,Alessandro Florenzi,it ITA,DF,Valencia,8.4,13,9,9,4,0,8,18,44.4,10,11,1,10,14,27,21,0
184,Hernâni Fortes,pt POR,"MF,FW",Levante,7.3,5,2,4,0,1,1,3,33.3,2,3,0,3,4,9,9,0
185,Dimitri Foulquier,fr FRA,"DF,MF",Granada,12.4,25,11,13,9,3,11,20,55,9,8,3,5,16,41,32,0
186,Jorge de Frutos,es ESP,"MF,DF",Valladolid,0.7,2,2,2,0,0,1,2,50,1,0,0,0,0,2,1,0
187,Ramiro Funes Mori,ar ARG,DF,Villarreal,5,5,2,2,3,0,0,2,0,2,8,2,6,3,8,9,1
188,Enric Gallego,es ESP,FW,Osasuna,9.8,9,5,1,5,3,0,4,0,4,10,2,8,4,13,8,0
189,Enric Gallego,es ESP,FW,Getafe,1.8,3,1,1,1,1,2,4,50,2,2,0,2,2,5,1,0
190,Kévin Gameiro,fr FRA,FW,Valencia,17.6,17,9,7,6,4,5,21,23.8,16,10,1,9,5,22,5,0
191,Fran Gámez,es ESP,DF,Mallorca,19.6,64,42,32,27,5,33,74,44.6,41,31,11,20,29,93,41,0
192,Ezequiel Garay,ar ARG,DF,Valencia,16,12,8,9,2,1,7,11,63.6,4,19,17,2,14,26,71,0
193,Dani García,es ESP,MF,Athletic Club,33.7,59,30,30,27,2,30,86,34.9,56,25,7,18,52,111,56,1
194,David García,es ESP,DF,Osasuna,31,28,16,15,12,1,14,31,45.2,17,20,16,4,48,76,123,2
195,Javi García,es ESP,MF,Betis,4.2,2,2,2,0,0,2,3,66.7,1,1,0,1,4,6,15,0
196,Manu García,es ESP,MF,Alavés,21.9,46,23,11,31,4,17,72,23.6,55,28,12,16,28,74,32,1
197,Raúl García,es ESP,"DF,MF",Valladolid,11.2,20,12,11,7,2,9,22,40.9,13,12,2,10,8,28,30,0
198,Raúl García,es ESP,"MF,FW",Athletic Club,31.9,57,37,19,26,12,16,76,21.1,60,46,6,40,24,81,44,0
199,Raúl García,es ESP,DF,Getafe,2.7,5,3,2,3,0,3,6,50,3,3,1,2,4,9,10,0
200,Rubén García,es ESP,"MF,FW",Osasuna,24.3,55,30,22,26,7,18,46,39.1,28,34,5,29,11,66,23,1
201,Unai García,es ESP,DF,Osasuna,6,9,6,4,4,1,5,9,55.6,4,13,9,4,8,17,31,0
202,Víctor García,es ESP,"FW,MF",Valladolid,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0
203,Manuel Garrido,es ESP,FW,Leganés,1.3,0,0,0,0,0,0,6,0,6,3,1,2,1,1,0,0
204,Mario Gaspar,es ESP,DF,Villarreal,21.8,35,20,16,16,3,15,31,48.4,16,25,10,15,26,61,69,0
205,José Antonio Martínez Gil,es ESP,DF,Granada,13.2,,15,,,,,,,,,,,20,,,
206,Ibai Gómez,es ESP,FW,Athletic Club,7.7,5,3,2,2,1,3,8,37.5,5,4,0,4,3,8,6,0
207,Maxi Gómez,uy URU,FW,Valencia,23.8,9,7,1,6,2,4,8,50,4,8,1,7,5,14,14,0
208,Moi Gómez,es ESP,"FW,MF",Villarreal,25.8,30,22,9,14,7,11,33,33.3,22,22,2,20,25,55,23,0
209,Sergi Gómez,es ESP,DF,Sevilla,8,9,7,7,2,0,4,4,100,0,6,6,0,7,16,30,0
210,Maxime Gonalons,fr FRA,MF,Granada,16.7,62,38,25,35,2,22,54,40.7,32,27,3,24,20,82,20,1
211,Bruno González,es ESP,DF,Getafe,2,3,2,3,0,0,1,1,100,0,2,0,2,0,3,3,0
212,Bruno González,es ESP,DF,Levante,5.1,10,8,7,2,1,2,4,50,2,7,4,3,2,12,32,0
213,Édgar González,es ESP,MF,Betis,7.6,8,3,3,5,0,2,14,14.3,12,4,2,2,10,18,16,0
214,Gonzalo,es ESP,DF,Levante,0.1,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0
215,Andoni Gorosabel,es ESP,DF,Real Sociedad,7.9,14,8,9,3,2,10,20,50,10,13,1,12,13,27,21,0
216,Esteban Granero,es ESP,MF,Espanyol,5.3,10,4,5,3,2,5,11,45.5,6,3,2,1,2,12,5,0
217,Antoine Griezmann,fr FRA,FW,Barcelona,28.3,33,18,12,11,10,9,34,26.5,25,22,3,19,12,45,20,1
218,Andrés Guardado,mx MEX,MF,Betis,22.7,30,14,15,11,4,15,41,36.6,26,15,4,11,18,48,22,1
219,Sergi Guardiola,es ESP,FW,Valladolid,29.5,14,6,3,7,4,4,24,16.7,20,23,0,23,6,20,18,1
220,Nemanja Gudelj,rs SRB,"MF,DF",Sevilla,13.5,20,14,11,8,1,6,19,31.6,13,17,8,9,12,32,35,1
221,Gonçalo Guedes,pt POR,"MF,FW",Valencia,14.1,19,11,11,7,1,9,32,28.1,23,10,1,9,7,26,1,0
222,Adrián Guerrero,es ESP,DF,Valencia,1.4,2,2,1,1,0,2,3,66.7,1,0,0,0,2,4,1,0
