,,,,,,Tackles,,,,,Vs Dribbles,,,,Blocks,,,,,,
Rk,Player,Nation,Pos,Squad,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
1,Antonio Adán,es ESP,GK,Atlético Madrid,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2,Aday,es ESP,"DF,MF",Girona,7.2,9,8,2,5,2,6,7,85.7,1,1,0,1,7,16,17,1
3,Aritz Aduriz,es ESP,FW,Athletic Club,10.5,4,2,1,1,2,1,7,14.3,6,2,1,1,0,4,4,0
4,Luis Advíncula,pe PER,DF,Rayo Vallecano,26.5,52,38,38,12,2,21,31,67.7,10,22,2,20,19,71,60,1
5,Martin Agirregabiria,es ESP,DF,Alavés,22.6,45,29,32,10,3,28,46,60.9,18,33,11,22,27,72,65,1
6,Juan Aguilera,es ESP,MF,Huesca,3.8,2,2,0,1,1,1,4,25,3,4,2,2,4,6,2,0
7,Carlos Akapo,gq EQG,DF,Huesca,11.4,28,15,18,8,2,19,33,57.6,14,12,2,10,23,51,36,0
8,Sergio Akieme,es ESP,DF,Rayo Vallecano,2,3,3,3,0,0,2,2,100,0,0,0,0,1,4,5,0
9,Jordi Alba,es ESP,DF,Barcelona,33.2,42,22,20,15,7,20,48,41.7,28,24,6,18,60,102,76,1
10,Pedro Alcalá,es ESP,DF,Girona,20.8,32,23,23,9,0,15,23,65.2,8,21,18,3,36,68,120,0
11,Rubén Alcaraz,es ESP,MF,Valladolid,33.1,96,54,50,40,6,32,89,36,57,59,10,49,38,134,52,1
12,Álex Alegría,es ESP,"FW,MF",Rayo Vallecano,1.6,1,1,0,1,0,0,3,0,3,1,0,1,0,1,0,0
13,Iván Alejo,es ESP,MF,Getafe,1.6,2,0,0,2,0,0,4,0,4,2,0,2,0,2,3,0
14,Carles Aleñá,es ESP,MF,Barcelona,7.1,7,4,0,6,1,2,8,25,6,4,0,4,2,9,0,0
15,Alexander,ar ARG,FW,Leganés,0.1,1,0,1,0,0,1,1,100,0,0,0,0,0,1,0,0
16,Júnior Alonso,py PAR,"DF,MF",Celta Vigo,6,13,9,8,4,1,7,12,58.3,5,8,3,5,5,18,24,1
17,Sergio Álvarez,es ESP,"DF,MF",Eibar,11.9,34,25,12,20,2,13,23,56.5,10,9,4,5,17,51,43,0
18,Sergio Álvarez,es ESP,GK,Celta Vigo,13,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
19,Yeray Álvarez,es ESP,DF,Athletic Club,29,55,30,39,14,2,19,33,57.6,14,35,16,19,63,118,149,1
20,Ibrahim Amadou,fr FRA,"MF,DF",Sevilla,8.5,27,20,9,15,3,2,9,22.2,7,7,4,3,11,38,24,0
21,Jordi Amat,es ESP,DF,Rayo Vallecano,30.7,54,31,34,19,1,24,42,57.1,18,31,10,21,43,97,133,1
22,Amath,sn SEN,MF,Getafe,11.1,20,13,7,11,2,6,27,22.2,21,17,0,17,10,30,12,0
23,José Ángel,es ESP,DF,Eibar,33.6,66,46,36,23,7,31,56,55.4,25,24,5,19,41,107,113,1
24,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,11,1,1,1,0,0,1,2,50,1,0,0,0,1,2,9,2
25,Antoñito,es ESP,"DF,MF",Valladolid,20.7,35,21,16,15,4,18,42,42.9,24,21,8,13,18,53,31,0
26,Vitorino Antunes,pt POR,"DF,MF",Getafe,24.2,41,26,22,17,2,27,45,60,18,33,7,26,43,84,75,1
27,Anuar,ma MAR,"MF,FW",Valladolid,12,33,19,15,16,2,6,14,42.9,8,14,1,13,11,44,25,1
28,Emmanuel Apeh,ng NGA,"FW,MF",Celta Vigo,0.2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
29,Mauro Arambarri,uy URU,MF,Getafe,29.7,59,33,18,37,4,23,76,30.3,53,44,9,35,30,89,36,0
30,Guilherme Arana,br BRA,DF,Sevilla,7,11,6,5,5,1,6,7,85.7,1,6,3,3,9,20,8,0
31,Néstor Araujo,mx MEX,DF,Celta Vigo,29.8,42,22,32,9,1,18,22,81.8,4,32,21,11,35,77,153,1
32,Anaitz Arbilla,es ESP,DF,Eibar,21.7,31,24,25,5,1,17,27,63,10,12,5,7,46,77,92,2
33,Santiago Arias,co COL,DF,Atlético Madrid,19.7,48,32,31,16,1,20,31,64.5,11,14,2,12,34,82,43,0
34,José Arnaiz,es ESP,"MF,FW",Leganés,1.3,1,1,1,0,0,0,3,0,3,0,0,0,2,3,1,0
35,Sergio Asenjo,es ESP,GK,Villarreal,32,0,0,0,0,0,0,1,0,1,0,0,0,3,3,26,2
36,Marco Asensio,es ESP,FW,Real Madrid,19.8,12,8,3,5,4,2,24,8.3,22,16,1,15,14,26,7,0
37,Iago Aspas,es ESP,"FW,MF",Celta Vigo,25,16,11,4,8,4,4,20,20,16,14,0,14,16,32,5,0
38,Ezequiel Ávila,ar ARG,"FW,MF",Huesca,22.2,18,10,7,7,4,4,26,15.4,22,21,2,19,13,31,22,0
39,Abdoulaye Ba,sn SEN,DF,Rayo Vallecano,23.4,46,33,37,8,1,29,39,74.4,10,32,18,14,29,75,165,4
40,Carlos Bacca,co COL,FW,Villarreal,14.1,4,2,1,2,1,0,5,0,5,4,0,4,8,12,5,0
41,Gareth Bale,wls WAL,FW,Real Madrid,19.8,16,8,5,7,4,6,20,30,14,19,3,16,11,27,13,0
42,Mikel Balenziaga,es ESP,DF,Athletic Club,5.8,10,6,7,1,2,5,8,62.5,3,6,2,4,2,12,21,0
43,Éver Banega,ar ARG,MF,Sevilla,29.6,71,50,32,35,4,20,70,28.6,50,26,5,21,28,99,28,0
44,Léo Baptistão,br BRA,"FW,MF",Espanyol,13.7,22,14,11,5,6,8,27,29.6,19,17,0,17,8,30,14,0
45,Enis Bardhi,mk MKD,MF,Levante,31.5,70,43,30,34,6,28,87,32.2,59,35,3,32,31,101,36,1
46,Antonio Barragán,es ESP,"DF,FW",Betis,10.4,14,8,9,4,1,2,12,16.7,10,15,4,11,5,19,30,2
47,Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,4.4,7,2,2,0,5,2,8,25,6,8,0,8,4,11,1,0
48,Marc Bartra,es ESP,DF,Betis,32.5,86,55,55,26,5,41,76,53.9,35,46,21,25,60,146,132,2
49,Borja Bastón,es ESP,FW,Alavés,16,16,7,4,9,3,2,24,8.3,22,16,5,11,4,20,10,0
50,Michy Batshuayi,be BEL,FW,Valencia,5.9,1,1,0,1,0,0,3,0,3,5,2,3,0,1,3,0
