,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Alavés,3,38,38,"3,420",38,65,1.71,158,98,62.7,8,7,23,6,15.8,9,6,3,0,33.3
Athletic Club,2,38,38,"3,420",38,36,0.95,126,89,73.8,14,13,11,13,34.2,3,3,0,0,0
Atlético Madrid,1,38,38,"3,420",38,43,1.13,96,62,62.5,21,8,9,12,31.6,8,7,1,0,12.5
Barcelona,2,38,38,"3,420",38,38,1,124,88,71,21,10,7,11,28.9,3,2,1,0,33.3
Betis,2,38,38,"3,420",38,40,1.05,127,91,70.9,19,8,11,13,34.2,3,3,0,0,0
Cádiz,1,38,38,"3,420",38,51,1.34,159,117,74.8,8,15,15,13,34.2,13,11,2,0,15.4
Celta Vigo,1,38,38,"3,420",38,43,1.13,128,91,69.5,12,10,16,14,36.8,8,4,4,0,50
Elche,2,38,38,"3,420",38,52,1.37,166,120,72.9,11,9,18,8,21.1,9,7,1,1,12.5
Espanyol,3,38,38,"3,420",38,53,1.39,162,113,69.8,10,12,16,10,26.3,5,4,0,1,0
Getafe,2,38,38,"3,420",38,41,1.08,130,89,70,8,15,15,14,36.8,4,2,1,1,33.3
Granada,2,38,38,"3,420",38,61,1.61,184,131,70.7,8,14,16,8,21.1,9,7,2,0,22.2
Levante,4,38,38,"3,420",38,76,2,196,123,63.8,8,11,19,7,18.4,6,5,1,0,16.7
Mallorca,4,38,38,"3,420",38,63,1.66,143,88,60.1,10,9,19,9,23.7,8,6,2,0,25
Osasuna,2,38,38,"3,420",38,51,1.34,140,94,66.4,12,11,15,12,31.6,7,4,3,0,42.9
Rayo Vallecano,2,38,38,"3,417",38,50,1.32,153,110,71.9,11,9,18,9,23.7,9,7,2,0,22.2
Real Madrid,2,38,38,"3,420",38,31,0.82,123,94,77.2,26,8,4,16,42.1,5,3,2,0,40
Real Sociedad,2,38,38,"3,420",38,37,0.97,122,88,73.8,17,11,10,20,52.6,6,5,1,0,16.7
Sevilla,3,38,38,"3,420",38,30,0.79,118,89,76.3,18,16,4,17,44.7,4,2,1,1,33.3
Valencia,3,38,38,"3,420",38,53,1.39,156,111,70.5,11,15,12,12,31.6,8,7,1,0,12.5
Villarreal,2,38,38,"3,420",38,37,0.97,124,89,73.4,16,11,11,14,36.8,5,4,1,0,20
