,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Almería,2,38,38,"3,420",,70,1.84,234,164,70.1,6,12,20,3,7.9,,,,,
Athletic Club,2,38,38,"3,420",,55,1.45,175,120,68.6,18,4,16,9,23.7,,,,,
Atlético Madrid,1,38,38,"3,420",,53,1.39,199,146,73.4,17,7,14,11,28.9,,,,,
Barcelona,2,38,38,"3,420",,21,0.55,116,95,81.9,30,6,2,19,50,,,,,
Espanyol,2,38,38,"3,420",,55,1.45,206,151,73.3,15,4,19,10,26.3,,,,,
Getafe,2,38,38,"3,420",,60,1.58,204,144,70.6,12,8,18,10,26.3,,,,,
Hércules,3,38,38,"3,420",,60,1.58,207,147,71,9,8,21,8,21.1,,,,,
La Coruña,2,38,38,"3,420",,47,1.24,184,137,74.5,10,13,15,13,34.2,,,,,
Levante,2,38,38,"3,420",,52,1.37,184,132,71.7,12,9,17,10,26.3,,,,,
Málaga,5,38,38,"3,420",,68,1.79,223,155,69.5,13,7,18,9,23.7,,,,,
Mallorca,2,38,38,"3,420",,56,1.47,175,119,68,12,8,18,10,26.3,,,,,
Osasuna,1,38,38,"3,420",,46,1.21,171,125,73.1,13,8,17,14,36.8,,,,,
Racing Sant,2,38,38,"3,420",,56,1.47,195,139,71.3,12,10,16,9,23.7,,,,,
Real Madrid,4,38,38,"3,406",,33,0.87,124,91,73.4,29,5,4,16,42.1,,,,,
Real Sociedad,1,38,38,"3,420",,66,1.74,205,139,67.8,14,3,21,9,23.7,,,,,
Sevilla,2,38,38,"3,420",,61,1.61,206,145,70.4,17,7,14,8,21.1,,,,,
Sporting Gijón,3,38,38,"3,420",,42,1.11,153,111,72.5,11,14,13,14,36.8,,,,,
Valencia,3,38,38,"3,420",,44,1.16,180,136,75.6,21,8,9,12,31.6,,,,,
Villarreal,1,38,38,"3,420",,44,1.16,174,130,74.7,18,8,12,13,34.2,,,,,
Zaragoza,2,38,38,"3,419",,53,1.4,172,119,69.2,12,9,17,9,23.7,,,,,
