,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Alavés,2,38,38,"3,420",38,50,1.32,159,115,72.3,13,11,14,8,21.1,6,6,0,0,0
Athletic Club,2,38,38,"3,420",38,45,1.18,116,76,65.5,13,14,11,10,26.3,5,5,0,0,0
Atlético Madrid,2,38,38,"3,420",38,29,0.76,130,108,81.5,22,10,6,20,52.6,5,5,0,0,0
Barcelona,2,38,38,"3,420",38,36,0.95,129,96,73.6,26,9,3,17,44.7,2,2,0,0,0
Betis,2,38,38,"3,420",38,52,1.37,156,108,69.2,14,8,16,11,28.9,5,4,1,0,20
Celta Vigo,2,38,38,"3,420",38,62,1.63,163,108,65.6,10,11,17,8,21.1,7,6,0,1,0
Eibar,2,38,38,"3,420",38,50,1.32,126,80,62.7,11,14,13,9,23.7,4,3,1,0,25
Espanyol,1,38,38,"3,420",38,50,1.32,156,114,71.8,14,11,13,10,26.3,8,6,2,0,25
Getafe,2,38,38,"3,420",38,35,0.92,128,100,75.8,15,14,9,13,34.2,7,4,2,1,33.3
Girona,2,38,38,"3,420",38,53,1.39,198,155,77.3,9,10,19,9,23.7,8,8,0,0,0
Huesca,3,38,38,"3,420",38,65,1.71,167,112,66.5,7,12,19,6,15.8,9,9,0,0,0
Leganés,2,38,38,"3,420",38,43,1.13,129,89,69,11,12,15,11,28.9,4,3,1,0,25
Levante,3,38,38,"3,420",38,66,1.74,217,161,73.3,11,11,16,7,18.4,9,8,1,0,11.1
Rayo Vallecano,2,38,38,"3,420",38,70,1.84,174,113,63.8,8,8,22,7,18.4,11,7,4,0,36.4
Real Madrid,3,38,38,"3,420",38,46,1.21,134,94,70.1,21,5,12,12,31.6,8,6,1,1,14.3
Real Sociedad,2,38,38,"3,420",38,46,1.21,141,99,68.8,13,11,14,9,23.7,3,2,1,0,33.3
Sevilla,3,38,38,"3,419",38,47,1.24,145,105,71.7,17,8,13,11,28.9,7,6,1,0,14.3
Valencia,2,38,38,"3,420",38,35,0.92,146,119,80.8,15,16,7,13,34.2,8,7,1,0,12.5
Valladolid,2,38,38,"3,420",38,51,1.34,151,108,70.2,10,11,17,9,23.7,9,6,3,0,33.3
Villarreal,2,38,38,"3,420",38,52,1.37,186,140,73.7,10,14,14,11,28.9,5,3,1,1,25
