,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Athletic Club,2,38,38,"3,420",,52,1.37,219,167,76.3,12,13,13,9,23.7,,,,,
Atlético Madrid,2,38,38,"3,420",,46,1.21,147,101,68.7,15,11,12,15,39.5,,,,,
Barcelona,2,38,38,"3,420",,29,0.76,106,77,72.6,28,7,3,19,50,,,,,
Betis,3,38,38,"3,420",,56,1.47,200,144,72,13,8,17,8,21.1,,,,,
Espanyol,2,38,38,"3,420",,56,1.47,201,145,72.1,12,10,16,11,28.9,,,,,
Getafe,2,38,38,"3,420",,51,1.34,202,151,74.8,12,11,15,10,26.3,,,,,
Granada,2,38,38,"3,420",,56,1.47,211,155,73.5,12,6,20,8,21.1,,,,,
Levante,2,38,38,"3,420",,50,1.32,193,143,74.1,16,7,15,12,31.6,,,,,
Málaga,3,38,38,"3,422",,46,1.21,159,113,71.1,17,7,14,10,26.3,,,,,
Mallorca,2,38,38,"3,420",,46,1.21,204,158,77.5,14,10,14,12,31.6,,,,,
Osasuna,2,38,38,"3,420",,61,1.61,210,149,71,13,15,10,10,26.3,,,,,
Racing Sant,3,38,38,"3,420",,63,1.66,261,198,75.9,4,15,19,10,26.3,,,,,
Rayo Vallecano,3,38,38,"3,420",,73,1.92,202,129,63.9,13,4,21,10,26.3,,,,,
Real Madrid,2,38,38,"3,420",,32,0.84,134,102,76.1,32,4,2,14,36.8,,,,,
Real Sociedad,2,38,38,"3,420",,52,1.37,201,149,74.1,12,11,15,12,31.6,,,,,
Sevilla,2,38,38,"3,420",,47,1.24,191,144,75.4,13,11,14,13,34.2,,,,,
Sporting Gijón,2,38,38,"3,420",,69,1.82,243,174,71.6,10,7,21,4,10.5,,,,,
Valencia,2,38,38,"3,420",,44,1.16,178,134,75.3,17,10,11,14,36.8,,,,,
Villarreal,2,38,38,"3,420",,53,1.39,195,142,72.8,9,14,15,9,23.7,,,,,
Zaragoza,1,38,38,"3,420",,61,1.61,220,159,72.3,12,7,19,10,26.3,,,,,
