,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Almería,1,38,38,"3,420",,71,1.87,214,143,66.8,11,7,20,10,26.3,,,,,
Athletic Club,2,38,38,"3,420",,39,1.03,138,99,71.7,20,10,8,12,31.6,,,,,
Atlético Madrid,3,38,38,"3,420",,26,0.68,100,74,74,28,6,4,20,52.6,,,,,
Barcelona,2,38,38,"3,420",,33,0.87,130,97,74.6,27,6,5,16,42.1,,,,,
Betis,4,38,38,"3,420",,78,2.05,242,164,67.8,6,7,25,8,21.1,,,,,
Celta Vigo,2,38,38,"3,420",,54,1.42,188,134,71.3,14,7,17,9,23.7,,,,,
Elche,2,38,38,"3,420",,50,1.32,159,109,68.6,9,13,16,11,28.9,,,,,
Espanyol,2,38,38,"3,413",,51,1.34,161,110,68.3,11,9,18,9,23.7,,,,,
Getafe,3,38,38,"3,420",,54,1.42,195,141,72.3,11,9,18,10,26.3,,,,,
Granada,2,38,38,"3,420",,56,1.47,208,152,73.1,12,5,21,12,31.6,,,,,
Levante,2,38,38,"3,419",,43,1.13,201,158,78.6,12,12,14,16,42.1,,,,,
Málaga,1,38,38,"3,420",,46,1.21,178,132,74.2,12,9,17,12,31.6,,,,,
Osasuna,2,38,38,"3,419",,62,1.63,184,122,66.3,10,9,19,9,23.7,,,,,
Rayo Vallecano,2,38,38,"3,420",,80,2.11,193,113,58.5,13,4,21,10,26.3,,,,,
Real Madrid,2,38,38,"3,420",,38,1,127,89,70.1,27,6,5,16,42.1,,,,,
Real Sociedad,2,38,38,"3,420",,55,1.45,185,130,70.3,16,11,11,12,31.6,,,,,
Sevilla,2,38,38,"3,420",,52,1.37,171,119,69.6,18,9,11,9,23.7,,,,,
Valencia,2,38,38,"3,420",,53,1.39,177,124,70.1,13,10,15,10,26.3,,,,,
Valladolid,2,38,38,"3,420",,60,1.58,196,136,69.4,7,15,16,12,31.6,,,,,
Villarreal,2,38,38,"3,420",,44,1.16,136,92,67.6,17,8,13,10,26.3,,,,,
