,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Athletic Club,2,38,38,"3,420",,65,1.71,232,167,72,12,9,17,9,23.7,,,,,
Atlético Madrid,2,38,38,"3,420",,31,0.82,124,93,75,23,7,8,20,52.6,,,,,
Barcelona,2,38,38,"3,420",,40,1.05,117,77,65.8,32,4,2,10,26.3,,,,,
Betis,3,38,38,"3,420",,56,1.47,186,130,69.9,16,8,14,13,34.2,,,,,
Celta Vigo,3,38,38,"3,420",,52,1.37,167,115,68.9,10,7,21,6,15.8,,,,,
Espanyol,2,38,38,"3,420",,52,1.37,183,131,71.6,11,11,16,12,31.6,,,,,
Getafe,2,38,38,"3,420",,57,1.5,197,140,71.1,13,8,17,9,23.7,,,,,
Granada,2,38,38,"3,420",,54,1.42,191,137,71.7,11,9,18,10,26.3,,,,,
La Coruña,2,38,38,"3,399",,70,1.85,194,124,63.9,8,11,19,8,21.1,,,,,
Levante,2,38,38,"3,420",,57,1.5,195,138,70.8,12,10,16,10,26.3,,,,,
Málaga,2,38,38,"3,420",,50,1.32,162,112,69.1,16,9,13,13,34.2,,,,,
Mallorca,3,38,38,"3,420",,72,1.89,188,116,61.7,9,9,20,5,13.2,,,,,
Osasuna,3,38,38,"3,420",,50,1.32,158,108,68.4,10,9,19,12,31.6,,,,,
Rayo Vallecano,3,38,38,"3,420",,66,1.74,189,123,65.1,16,5,17,9,23.7,,,,,
Real Madrid,4,38,38,"3,419",,42,1.11,147,105,71.4,26,7,5,11,28.9,,,,,
Real Sociedad,2,38,38,"3,420",,49,1.29,168,119,70.8,18,12,8,10,26.3,,,,,
Sevilla,4,38,38,"3,420",,54,1.42,163,109,66.9,14,8,16,9,23.7,,,,,
Valencia,2,38,38,"3,420",,54,1.42,172,118,68.6,19,8,11,11,28.9,,,,,
Valladolid,2,38,38,"3,420",,58,1.53,208,150,72.1,11,10,17,9,23.7,,,,,
Zaragoza,3,38,38,"3,420",,62,1.63,164,102,62.2,9,7,22,6,15.8,,,,,
