,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Alavés,2,38,38,"3,420",38,57,1.5,143,87,62.2,9,11,18,9,23.7,3,3,0,0,0
Athletic Club,2,38,38,"3,420",38,42,1.11,107,71,65.4,11,13,14,9,23.7,6,5,1,0,16.7
Atlético Madrid,1,38,38,"3,420",38,25,0.66,120,97,80,26,8,4,18,47.4,4,1,2,1,66.7
Barcelona,2,38,38,"3,420",38,38,1,123,91,73.2,24,7,7,14,36.8,5,5,0,0,0
Betis,2,38,38,"3,420",38,50,1.32,125,85,66.4,17,10,11,13,34.2,10,8,2,0,20
Cádiz,3,38,38,"3,420",38,58,1.53,139,88,64.7,11,11,16,10,26.3,10,9,1,0,10
Celta Vigo,2,38,38,"3,418",38,57,1.5,132,81,62.1,14,11,13,9,23.7,8,7,1,0,12.5
Eibar,2,38,38,"3,420",38,52,1.37,133,82,63.2,6,12,20,9,23.7,5,3,1,1,25
Elche,2,38,38,"3,420",38,55,1.45,156,107,68.6,8,12,18,7,18.4,10,6,3,1,33.3
Getafe,2,38,38,"3,420",38,43,1.13,105,71,65.7,9,11,18,14,36.8,8,7,1,0,12.5
Granada,3,38,38,"3,420",38,65,1.71,160,100,63.1,13,7,18,9,23.7,12,6,5,1,45.5
Huesca,2,38,38,"3,420",38,53,1.39,142,94,66.2,7,13,18,9,23.7,5,5,0,0,0
Levante,3,38,38,"3,420",38,57,1.5,163,106,66.9,9,14,15,4,10.5,4,3,0,1,0
Osasuna,3,38,38,"3,415",38,48,1.27,139,95,69.1,11,11,16,11,28.9,9,5,3,1,37.5
Real Madrid,1,38,38,"3,420",38,28,0.74,111,90,81.1,25,9,4,17,44.7,9,7,2,0,22.2
Real Sociedad,1,38,38,"3,420",38,38,1,100,66,65,17,11,10,14,36.8,5,3,1,1,25
Sevilla,2,38,38,"3,420",38,33,0.87,114,87,74.6,24,5,9,17,44.7,6,4,2,0,33.3
Valencia,2,38,38,"3,420",38,53,1.39,169,119,71.6,10,13,15,7,18.4,8,5,3,0,37.5
Valladolid,2,38,38,"3,420",38,57,1.5,155,102,67.1,5,16,17,3,7.9,7,6,0,1,0
Villarreal,2,38,38,"3,420",38,45,1.18,122,87,68.9,15,13,10,10,26.3,9,7,1,1,12.5
