,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Alavés,3,38,38,"3,418",38,59,1.55,147,98,68,10,9,19,9,23.7,15,12,3,0,20
Athletic Club,2,38,38,"3,416",38,38,1,121,87,72.7,13,12,13,12,31.6,7,5,0,2,0
Atlético Madrid,2,38,38,"3,420",38,27,0.71,106,83,77.4,18,16,4,17,44.7,4,3,0,1,0
Barcelona,2,38,38,"3,420",38,38,1,113,79,71.7,25,7,6,15,39.5,7,6,1,0,14.3
Betis,2,38,38,"3,418",38,60,1.58,144,94,66,10,11,17,6,15.8,11,11,0,0,0
Celta Vigo,3,38,38,"3,420",38,49,1.29,141,96,68.8,7,16,15,12,31.6,5,5,0,0,0
Eibar,2,38,38,"3,420",38,56,1.47,127,76,59.1,11,9,18,11,28.9,6,4,2,0,33.3
Espanyol,2,38,38,"3,412",38,58,1.53,157,105,66.9,5,10,23,6,15.8,7,6,1,0,14.3
Getafe,1,38,38,"3,420",38,37,0.97,102,70,68.6,14,12,12,15,39.5,6,5,1,0,16.7
Granada,2,38,38,"3,420",38,45,1.18,149,107,72.5,16,8,14,13,34.2,5,4,1,0,20
Leganés,2,38,38,"3,419",38,51,1.34,133,89,66.2,8,12,18,9,23.7,7,6,1,0,14.3
Levante,2,38,38,"3,420",38,53,1.39,211,160,76.3,14,7,17,6,15.8,7,3,3,1,50
Mallorca,3,38,38,"3,420",38,65,1.71,174,123,71.3,9,6,23,5,13.2,16,15,1,0,6.3
Osasuna,3,38,38,"3,418",38,54,1.42,138,87,64.5,13,13,12,11,28.9,5,5,0,0,0
Real Madrid,2,38,38,"3,420",38,25,0.66,108,84,78.7,26,9,3,19,50,2,2,0,0,0
Real Sociedad,2,38,38,"3,420",38,48,1.26,138,98,70.3,16,8,14,9,23.7,9,7,1,1,12.5
Sevilla,2,38,38,"3,420",38,34,0.89,116,86,73.3,19,13,6,17,44.7,4,3,1,0,25
Valencia,2,38,38,"3,420",38,53,1.39,182,136,74.7,14,11,13,8,21.1,9,7,2,0,22.2
Valladolid,3,38,38,"3,420",38,43,1.13,134,98,73.1,9,15,14,12,31.6,8,7,1,0,12.5
Villarreal,2,38,38,"3,420",38,49,1.29,159,120,74.2,18,6,14,12,31.6,9,8,1,0,11.1
