,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Alavés,2,38,38,"3,420",38,43,1.13,156,119,75,14,13,11,12,31.6,6,4,2,0,33.3
Athletic Club,2,38,38,"3,420",38,43,1.13,119,79,64.7,19,6,13,10,26.3,3,1,2,0,66.7
Atlético Madrid,2,38,38,"3,420",38,27,0.71,111,87,78.4,23,9,6,20,52.6,4,3,1,0,25
Barcelona,3,38,38,"3,420",38,37,0.97,160,123,76.9,28,6,4,13,34.2,0,0,0,0,
Betis,2,38,38,"3,420",38,64,1.68,187,128,67.9,10,9,19,10,26.3,5,4,1,0,20
Celta Vigo,3,38,38,"3,420",38,69,1.82,181,121,66.9,13,6,19,7,18.4,10,9,0,1,0
Eibar,3,38,38,"3,413",38,51,1.34,152,107,69.7,15,9,14,10,26.3,6,5,1,0,16.7
Espanyol,2,38,38,"3,420",38,50,1.32,175,127,72.6,15,11,12,11,28.9,2,2,0,0,0
Granada,1,38,38,"3,420",38,82,2.16,242,163,66.9,4,8,26,3,7.9,4,2,1,1,33.3
La Coruña,3,38,38,"3,420",38,61,1.61,168,110,65.5,8,12,18,9,23.7,3,3,0,0,0
Las Palmas,2,38,38,"3,420",38,74,1.95,165,102,61.8,10,9,19,5,13.2,11,11,0,0,0
Leganés,5,38,38,"3,416",38,55,1.45,137,89,64.2,8,11,19,11,28.9,7,6,1,0,14.3
Málaga,2,38,38,"3,420",38,55,1.45,143,95,65.7,12,10,16,8,21.1,7,6,1,0,14.3
Osasuna,4,38,38,"3,420",38,94,2.47,193,106,53.4,4,10,24,2,5.3,8,4,3,1,42.9
Real Madrid,2,38,38,"3,420",38,41,1.08,143,105,72.7,29,6,3,10,26.3,4,2,1,1,33.3
Real Sociedad,1,38,38,"3,420",38,53,1.39,156,108,68.6,19,7,12,10,26.3,7,4,1,2,20
Sevilla,3,38,38,"3,417",38,48,1.26,161,118,72.7,21,9,8,13,34.2,5,4,1,0,20
Sporting Gijón,2,38,38,"3,420",38,72,1.89,195,132,66.7,7,10,21,7,18.4,9,7,2,0,22.2
Valencia,3,38,38,"3,420",38,65,1.71,154,100,61.7,13,7,18,7,18.4,13,6,5,2,45.5
Villarreal,2,38,38,"3,420",38,33,0.87,148,121,81.1,19,10,9,16,42.1,6,5,1,0,16.7
