,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Athletic Club,2,38,38,"3,417",38,45,1.19,131,93,70.2,18,8,12,13,34.2,7,6,1,0,14.3
Atlético Madrid,1,38,38,"3,420",38,18,0.47,99,82,82.8,28,4,6,24,63.2,1,1,0,0,0
Barcelona,2,38,38,"3,420",38,29,0.76,128,100,78.1,29,4,5,18,47.4,1,1,0,0,0
Betis,2,38,38,"3,420",38,52,1.37,186,134,72,11,12,15,12,31.6,1,0,0,1,
Celta Vigo,3,38,38,"3,418",38,59,1.55,155,100,63.9,17,9,12,10,26.3,5,3,1,1,25
Eibar,2,38,38,"3,510",38,62,1.59,154,96,61.7,11,10,17,7,18.4,4,3,1,0,25
Espanyol,2,38,38,"3,420",38,74,1.95,171,103,60.2,12,7,19,7,18.4,6,6,0,0,0
Getafe,1,38,38,"3,420",38,67,1.76,179,122,67,9,9,20,8,21.1,11,8,2,1,20
Granada,2,38,38,"3,419",38,69,1.82,172,107,62.2,10,9,19,4,10.5,5,4,0,1,0
La Coruña,3,38,38,"3,419",38,61,1.61,149,92,61.1,8,18,12,7,18.4,5,3,1,1,25
Las Palmas,2,38,38,"3,417",38,53,1.4,181,131,72.4,12,8,18,11,28.9,4,3,0,1,0
Levante,2,38,38,"3,420",38,70,1.84,183,119,64.5,8,8,22,6,15.8,7,5,1,1,16.7
Málaga,2,38,38,"3,420",38,35,0.92,138,105,75.4,12,12,14,12,31.6,2,1,1,0,50
Rayo Vallecano,3,38,38,"3,418",38,73,1.92,182,118,63.7,9,11,18,6,15.8,9,7,2,0,22.2
Real Madrid,2,38,38,"3,420",38,34,0.89,137,106,75.9,28,6,4,14,36.8,4,1,3,0,75
Real Sociedad,2,38,38,"3,418",38,48,1.26,151,109,71.5,13,9,16,13,34.2,8,5,1,2,16.7
Sevilla,2,38,38,"3,420",38,50,1.32,174,126,72.4,14,10,14,11,28.9,3,2,0,1,0
Sporting Gijón,2,38,38,"3,420",38,62,1.63,193,140,71,10,9,19,7,18.4,11,6,3,2,33.3
Valencia,3,38,38,"3,420",38,48,1.26,177,133,74,11,11,16,7,18.4,4,2,2,0,50
Villarreal,3,38,38,"3,420",38,35,0.92,131,99,74.8,18,10,10,17,44.7,3,2,1,0,33.3
