,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Almería,2,38,38,"3,420",38,64,1.68,213,149,70,8,8,22,8,21.1,,,,,
Athletic Club,2,38,38,"3,420",38,41,1.08,140,99,70.7,15,10,13,14,36.8,,,,,
Atlético Madrid,2,38,38,"3,420",38,29,0.76,95,66,69.5,23,9,6,19,50,,,,,
Barcelona,2,38,38,"3,420",38,21,0.55,91,70,76.9,30,4,4,23,60.5,,,,,
Celta Vigo,2,38,38,"3,420",38,44,1.16,148,104,70.3,13,12,13,10,26.3,,,,,
Córdoba,2,38,38,"3,420",38,68,1.79,187,119,63.6,3,11,24,7,18.4,,,,,
Eibar,2,38,38,"3,420",38,55,1.45,193,138,71.5,9,8,21,8,21.1,,,,,
Elche,2,38,38,"3,415",38,62,1.63,180,118,65.6,11,8,19,9,23.7,,,,,
Espanyol,2,38,38,"3,420",38,51,1.34,167,116,69.5,13,10,15,13,34.2,,,,,
Getafe,3,38,38,"3,420",38,64,1.68,174,110,63.2,10,7,21,5,13.2,,,,,
Granada,3,38,38,"3,420",38,64,1.68,159,95,59.7,7,14,17,11,28.9,,,,,
La Coruña,2,38,38,"3,420",38,60,1.58,185,125,67.6,7,14,17,12,31.6,,,,,
Levante,2,38,38,"3,420",38,67,1.76,180,113,62.8,9,10,19,7,18.4,,,,,
Málaga,1,38,38,"3,420",38,48,1.26,152,104,68.4,14,8,16,10,26.3,,,,,
Rayo Vallecano,3,38,38,"3,410",38,68,1.79,180,112,62.2,15,4,19,10,26.3,,,,,
Real Madrid,2,38,38,"3,420",38,38,1,132,94,71.2,30,2,6,15,39.5,,,,,
Real Sociedad,2,38,38,"3,420",38,51,1.34,170,119,70,11,13,14,8,21.1,,,,,
Sevilla,3,38,38,"3,420",38,45,1.18,146,101,69.2,23,7,8,14,36.8,,,,,
Valencia,2,38,38,"3,420",38,32,0.84,125,93,74.4,22,11,5,13,34.2,,,,,
Villarreal,2,38,38,"3,420",38,37,0.97,141,104,73.8,16,12,10,16,42.1,,,,,
