,,,,,,,Playing Time,,,,Performance,,,,,,,,Performance,,,Penalty Kicks,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
1,Antonio Ad·n,es ESP,GK,Real Madrid,25,1987,3,3,186,2.1,3,1.45,8,5,62.5,1,0,1,1,33.3,,,,,
2,Adri·n,es ESP,GK,Betis,25,1987,32,31,"2,869",31.9,46,1.44,155,109,70.3,13,7,12,11,35.5,,,,,
3,Pablo Alcolea,es ESP,GK,Zaragoza,23,1989,2,1,103,1.1,2,1.75,5,3,60,0,0,1,0,0,,,,,
4,Cristian ¡Ålvarez,ar ARG,GK,Espanyol,26,1985,18,18,"1,597",17.7,28,1.58,99,71,71.7,3,5,10,3,16.7,,,,,
5,Sergio ¡Ålvarez,es ESP,GK,Celta Vigo,25,1986,2,2,180,2,2,1,5,3,60,1,0,1,1,50,,,,,
6,Diego Alves,br BRA,GK,Valencia,27,1985,24,24,"2,160",24,39,1.62,119,80,67.2,11,5,8,5,20.8,,,,,
7,Miguel ¡Ångel Moy·,es ESP,GK,Getafe,28,1984,32,32,"2,801",31.1,44,1.41,154,110,71.4,12,6,13,7,21.9,,,,,
8,Dudu Aouate,il ISR,GK,Mallorca,34,1977,35,35,"3,121",34.7,63,1.82,167,104,62.3,9,8,18,5,14.3,,,,,
9,Daniel Aranzubia,es ESP,GK,La CoruÒa,32,1979,35,35,"3,084",34.3,67,1.96,179,112,62.6,8,9,18,7,20,,,,,
10,Sergio Asenjo,es ESP,GK,AtlÈtico Madrid,23,1989,1,1,90,1,2,2,4,2,50,1,0,0,0,0,,,,,
11,Beto,pt POR,GK,Sevilla,30,1982,14,14,"1,260",14,21,1.5,62,41,66.1,5,2,7,2,14.3,,,,,
12,RubÈn Blanco,es ESP,GK,Celta Vigo,17,1995,2,1,137,1.5,0,0,5,5,100,2,0,0,2,200,,,,,
13,Claudio Bravo,cl CHI,GK,Real Sociedad,29,1983,31,31,"2,790",31,40,1.29,142,102,71.8,16,10,5,9,29,,,,,
14,Willy Caballero,ar ARG,GK,M·laga,30,1981,36,36,"3,190",35.4,43,1.21,150,107,71.3,16,8,11,12,33.3,,,,,
15,Juan Calatayud,es ESP,GK,Mallorca,32,1979,3,3,270,3,7,2.33,17,10,58.8,0,1,2,0,0,,,,,
16,Kiko Casilla,es ESP,GK,Espanyol,25,1986,21,20,"1,823",20.3,24,1.18,84,60,71.4,8,6,6,9,45,,,,,
17,Iker Casillas,es ESP,GK,Real Madrid,31,1981,19,18,"1,703",18.9,17,0.9,50,33,66,12,4,3,8,44.4,,,,,
18,Casto,es ESP,GK,Betis,30,1982,5,5,371,4.1,5,1.21,18,13,72.2,2,1,1,2,40,,,,,
19,David CobeÒo,es ESP,GK,Rayo Vallecano,30,1982,8,8,695,7.7,13,1.68,36,23,63.9,4,0,4,1,12.5,,,,,
20,Jordi Codina,es ESP,GK,Getafe,30,1982,7,6,619,6.9,13,1.89,43,30,69.8,1,2,4,2,33.3,,,,,
21,Thibaut Courtois,be BEL,GK,AtlÈtico Madrid,20,1992,37,37,"3,330",37,29,0.78,120,91,75.8,22,7,8,20,54.1,,,,,
22,Juli·n Cuesta,es ESP,GK,Sevilla,21,1991,1,1,90,1,0,0,3,3,100,1,0,0,1,100,,,,,
23,Fabricio,es ESP,GK,Betis,24,1987,2,2,180,2,5,2.5,13,8,61.5,1,0,1,0,0,,,,,
24,AndrÈs Fern·ndez,es ESP,GK,Osasuna,25,1986,37,37,"3,330",37,46,1.24,150,104,69.3,10,9,18,12,32.4,,,,,
25,Ra˙l Fern·ndez,es ESP,GK,Athletic Club,24,1988,3,3,270,3,4,1.33,16,12,75,0,1,2,1,33.3,,,,,
26,Leo Franco,ar ARG,GK,Zaragoza,35,1977,4,4,347,3.9,9,2.33,15,6,40,0,2,2,1,25,,,,,
27,Dani GimÈnez,es ESP,GK,Rayo Vallecano,29,1983,2,1,111,1.2,4,3.24,5,1,20,0,0,1,0,0,,,,,
28,Vicente Guaita,es ESP,GK,Valencia,25,1987,14,14,"1,260",14,15,1.07,53,38,71.7,8,3,3,6,42.9,,,,,
29,Dani Hern·ndez,ve VEN,GK,Valladolid,26,1985,24,24,"2,160",24,37,1.54,127,90,70.9,7,7,10,6,25,,,,,
30,Gorka Iraizoz,es ESP,GK,Athletic Club,31,1981,35,35,"3,150",35,61,1.74,216,155,71.8,12,8,15,8,22.9,,,,,
31,Jaime,es ESP,GK,Valladolid,31,1980,14,14,"1,260",14,21,1.5,81,60,74.1,4,3,7,3,21.4,,,,,
32,Jes˙s,es ESP,GK,Real Madrid,24,1988,1,1,90,1,2,2,14,12,85.7,1,0,0,0,0,,,,,
33,Carlos Kameni,cm CMR,GK,M·laga,28,1984,3,2,230,2.6,7,2.74,12,5,41.7,0,1,2,1,50,,,,,
34,Diego LÛpez,es ESP,GK,Real Madrid,30,1981,16,16,"1,440",16,20,1.25,75,55,73.3,11,2,3,2,12.5,,,,,
35,Diego LÛpez,es ESP,GK,Sevilla,30,1981,8,8,663,7.4,11,1.49,27,16,59.3,3,2,2,1,12.5,,,,,
36,Germ·n Lux,ar ARG,GK,La CoruÒa,30,1982,4,3,315,3.5,3,0.86,15,12,80,0,2,1,1,33.3,,,,,
37,JosÈ Manuel Pinto,es ESP,GK,Barcelona,36,1975,7,7,630,7,7,1,24,17,70.8,6,1,0,2,28.6,,,,,
38,RubÈn MiÒo,es ESP,GK,Mallorca,23,1989,1,0,29,0.3,2,6.21,4,2,50,0,0,0,0,,,,,,
39,Gustavo Mun˙a,uy URU,GK,Levante,34,1978,29,29,"2,610",29,47,1.62,148,101,68.2,11,6,12,8,27.6,,,,,
40,Keylor Navas,cr CRC,GK,Levante,25,1986,9,9,810,9,10,1.11,47,37,78.7,1,4,4,2,22.2,,,,,
41,AndrÈs Palop,es ESP,GK,Sevilla,38,1973,16,15,"1,407",15.6,22,1.41,71,49,69,6,5,5,5,33.3,,,,,
42,Ricardo,es ESP,GK,Osasuna,40,1971,1,0,16,0.2,1,5.63,2,1,50,0,0,0,0,,,,,,
43,Asier Riesgo,es ESP,GK,Osasuna,28,1983,1,1,74,0.8,3,3.65,6,3,50,0,0,1,0,0,,,,,
44,Roberto,es ESP,GK,Granada,33,1979,14,14,"1,260",14,17,1.21,63,46,73,6,3,5,6,42.9,,,,,
