,,,,,,,Playing Time,,,,Performance,,,,,,,,Performance,,,Penalty Kicks,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
1,Cristian ¡Ålvarez,ar ARG,GK,Rayo Vallecano,28,1985,17,16,"1,440",16,33,2.06,78,45,57.7,6,2,8,4,25,,,,,
2,Sergio ¡Ålvarez,es ESP,GK,Celta Vigo,27,1986,38,38,"3,350",37.2,42,1.13,146,104,71.2,12,12,13,11,28.9,,,,,
3,Diego Alves,br BRA,GK,Valencia,29,1985,37,37,"3,311",36.8,29,0.79,119,90,75.6,22,10,4,13,35.1,,,,,
4,Miguel ¡Ångel Moy·,es ESP,GK,AtlÈtico Madrid,30,1984,27,27,"2,430",27,23,0.85,71,48,67.6,17,5,5,12,44.4,,,,,
5,Sergio Asenjo,es ESP,GK,Villarreal,25,1989,34,34,"3,053",33.9,31,0.91,123,92,74.8,14,11,8,15,44.1,,,,,
6,Mariano Barbosa,ar ARG,GK,Sevilla,30,1984,2,1,164,1.8,2,1.1,3,1,33.3,1,1,0,0,0,,,,,
7,Beto,pt POR,GK,Sevilla,32,1982,18,18,"1,444",16,19,1.18,58,39,67.2,10,3,5,8,44.4,,,,,
8,RubÈn Blanco,es ESP,GK,Celta Vigo,19,1995,1,0,70,0.8,2,2.57,2,0,0,1,0,0,0,,,,,,
9,Claudio Bravo,cl CHI,GK,Barcelona,31,1983,37,37,"3,330",37,19,0.51,89,70,78.7,30,3,4,23,62.2,,,,,
10,Juan Carlos,es ESP,GK,Villarreal,27,1987,5,4,367,4.1,6,1.47,18,12,66.7,2,1,2,2,50,,,,,
11,Juan Carlos,es ESP,GK,CÛrdoba,26,1988,32,32,"2,880",32,56,1.75,150,94,62.7,3,11,18,7,21.9,,,,,
12,Kiko Casilla,es ESP,GK,Espanyol,27,1986,37,37,"3,280",36.4,48,1.32,160,112,70,13,10,13,13,35.1,,,,,
13,Iker Casillas,es ESP,GK,Real Madrid,33,1981,32,32,"2,880",32,35,1.09,118,83,70.3,24,2,6,12,37.5,,,,,
14,David CobeÒo,es ESP,GK,Rayo Vallecano,32,1982,3,2,246,2.7,5,1.83,13,8,61.5,1,0,2,1,50,,,,,
15,Jordi Codina,es ESP,GK,Getafe,32,1982,5,5,450,5,14,2.8,35,21,60,1,0,4,0,0,,,,,
16,Juli·n Cuesta,es ESP,GK,AlmerÌa,23,1991,15,15,"1,350",15,26,1.73,96,70,72.9,4,3,8,4,26.7,,,,,
17,Stole Dimitrievski,mk MKD,GK,Granada,20,1993,1,1,90,1,1,1,1,0,0,1,0,0,0,0,,,,,
18,Fabricio,es ESP,GK,La CoruÒa,26,1987,31,31,"2,790",31,41,1.32,145,104,71.7,6,13,12,11,35.5,,,,,
19,Vicente Guaita,es ESP,GK,Getafe,27,1987,29,29,"2,610",29,44,1.52,122,78,63.9,7,7,15,5,17.2,,,,,
20,Manu Herrera,es ESP,GK,Elche,32,1981,7,6,559,6.2,15,2.42,41,26,63.4,1,1,5,0,0,,,,,
21,Iago HerrerÌn,es ESP,GK,Athletic Club,26,1988,4,4,360,4,3,0.75,11,8,72.7,2,2,0,2,50,,,,,
22,Gorka Iraizoz,es ESP,GK,Athletic Club,33,1981,34,34,"3,060",34,38,1.12,129,91,70.5,13,8,13,12,35.3,,,,,
23,Xabi Irureta,es ESP,GK,Eibar,28,1986,33,33,"2,970",33,48,1.45,166,118,71.1,9,7,17,7,21.2,,,,,
24,Jaime,es ESP,GK,Eibar,33,1980,5,5,450,5,7,1.4,27,20,74.1,0,1,4,1,20,,,,,
25,Jes˙s,es ESP,GK,Levante,26,1988,6,6,540,6,12,2,30,18,60,1,1,4,2,33.3,,,,,
26,Carlos Kameni,cm CMR,GK,M·laga,30,1984,38,38,"3,420",38,48,1.26,152,104,68.4,14,8,16,10,26.3,,,,,
