,,,,,,,Playing Time,,,,Performance,,,,,,,,Performance,,,Penalty Kicks,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
1,Antonio Ad·n,es ESP,GK,Real Madrid,24,1987,1,1,90,1,1,1,6,5,83.3,1,0,0,0,0,,,,,
2,Cristian ¡Ålvarez,ar ARG,GK,Espanyol,25,1985,23,23,"2,059",22.9,34,1.49,113,79,69.9,8,3,11,7,30.4,,,,,
3,Diego Alves,br BRA,GK,Valencia,26,1985,12,12,"1,080",12,19,1.58,63,44,69.8,3,4,5,2,16.7,,,,,
4,Miguel ¡Ångel Moy·,es ESP,GK,Getafe,27,1984,36,36,"3,240",36,48,1.33,192,144,75,12,11,15,9,25,,,,,
5,Dudu Aouate,il ISR,GK,Mallorca,33,1977,37,37,"3,277",36.4,46,1.26,199,153,76.9,0,0,0,11,29.7,,,,,
6,Sergio Asenjo,es ESP,GK,AtlÈtico Madrid,22,1989,2,1,159,1.8,5,2.83,12,7,58.3,1,0,1,0,0,,,,,
7,Claudio Bravo,cl CHI,GK,Real Sociedad,28,1983,37,37,"3,330",37,51,1.38,195,144,73.8,12,10,15,12,32.4,,,,,
8,Willy Caballero,ar ARG,GK,M·laga,29,1981,28,28,"2,402",26.7,28,1.05,121,93,76.9,10,8,7,9,32.1,,,,,
9,Juan Calatayud,es ESP,GK,Mallorca,31,1979,3,1,143,1.6,0,0,5,5,100,1,0,0,1,100,,,,,
10,Kiko Casilla,es ESP,GK,Espanyol,24,1986,16,15,"1,361",15.1,22,1.45,88,66,75,4,7,5,4,26.7,,,,,
11,Iker Casillas,es ESP,GK,Real Madrid,30,1981,37,37,"3,330",37,31,0.84,128,97,75.8,31,4,2,14,37.8,,,,,
12,Casto,es ESP,GK,Betis,29,1982,22,22,"1,960",21.8,31,1.42,117,86,73.5,0,0,0,5,22.7,,,,,
13,J˙lio CÈsar,br BRA,GK,Granada,24,1986,16,16,"1,440",16,27,1.69,77,50,64.9,5,2,9,2,12.5,,,,,
14,David CobeÒo,es ESP,GK,Rayo Vallecano,29,1982,15,14,"1,297",14.4,29,2.01,79,50,63.3,4,1,10,5,35.7,,,,,
15,Jordi Codina,es ESP,GK,Getafe,29,1982,2,2,180,2,3,1.5,10,7,70,0,1,1,1,50,,,,,
16,Thibaut Courtois,be BEL,GK,AtlÈtico Madrid,19,1992,37,37,"3,261",36.2,41,1.13,135,94,69.6,14,11,11,15,40.5,,,,,
17,Iv·n CuÈllar,es ESP,GK,Sporting GijÛn,27,1984,1,1,90,1,4,4,12,8,66.7,0,0,1,0,0,,,,,
18,Fabricio,es ESP,GK,Betis,23,1987,15,15,"1,350",15,22,1.47,77,55,71.4,6,5,4,3,20,,,,,
19,AndrÈs Fern·ndez,es ESP,GK,Osasuna,24,1986,38,37,"3,378",37.5,61,1.63,206,145,70.4,13,15,10,10,27,,,,,
20,Mario Fern·ndez,es ESP,GK,Racing Sant,23,1988,13,12,"1,124",12.5,25,2,108,83,76.9,0,4,8,0,0,,,,,
21,Ra˙l Fern·ndez,es ESP,GK,Athletic Club,23,1988,1,1,90,1,0,0,3,3,100,0,1,0,1,100,,,,,
22,Dani GimÈnez,es ESP,GK,Rayo Vallecano,28,1983,11,11,953,10.6,16,1.51,47,31,66,3,3,4,2,18.2,,,,,
23,IÒaki Goitia,es ESP,GK,Betis,29,1982,2,1,110,1.2,3,2.45,6,3,50,1,0,1,0,0,,,,,
24,Vicente Guaita,es ESP,GK,Valencia,24,1987,26,26,"2,340",26,25,0.96,115,90,78.3,14,6,6,12,46.2,,,,,
25,Gorka Iraizoz,es ESP,GK,Athletic Club,30,1981,37,37,"3,330",37,52,1.41,216,164,75.9,12,13,13,8,21.6,,,,,
26,Carlos Kameni,cm CMR,GK,M·laga,27,1984,9,8,769,8.5,9,1.05,22,13,59.1,4,1,4,3,37.5,,,,,
27,Diego LÛpez,es ESP,GK,Villarreal,29,1981,37,37,"3,262",36.2,50,1.38,190,140,73.7,9,13,14,9,24.3,,,,,
28,JosÈ Manuel Pinto,es ESP,GK,Barcelona,35,1975,3,3,270,3,1,0.33,11,10,90.9,3,0,0,2,66.7,,,,,
29,Gustavo Mun˙a,uy URU,GK,Levante,33,1978,37,37,"3,330",37,50,1.35,188,138,73.4,10,6,13,11,29.7,,,,,
30,Keylor Navas,cr CRC,GK,Levante,24,1986,1,1,90,1,0,0,5,5,100,1,0,0,1,100,,,,,
31,Juan Pablo Colinas,es ESP,GK,Sporting GijÛn,32,1978,37,37,"3,330",37,65,1.76,231,166,71.9,10,7,20,4,10.8,,,,,
32,AndrÈs Palop,es ESP,GK,Sevilla,37,1973,13,13,"1,170",13,12,0.92,66,54,81.8,7,2,4,4,30.8,,,,,
33,Asier Riesgo,es ESP,GK,Osasuna,27,1983,1,1,42,0.5,0,0,4,4,100,0,0,0,0,0,,,,,
34,Roberto,es ESP,GK,Granada,32,1979,22,22,"1,980",22,29,1.32,134,105,78.4,7,4,11,6,27.3,,,,,
35,Roberto,es ESP,GK,Zaragoza,25,1986,38,38,"3,420",38,61,1.61,220,159,72.3,12,7,19,10,26.3,,,,,
36,Joel Robles,es ESP,GK,Rayo Vallecano,21,1990,13,13,"1,170",13,28,2.15,76,48,63.2,6,0,7,3,23.1,,,,,
37,RubÈn,es ESP,GK,M·laga,27,1984,4,2,251,2.8,9,3.23,16,7,43.8,0,1,3,0,0,,,,,
38,CÈsar S·nchez,es ESP,GK,Villarreal,39,1971,2,1,158,1.8,3,1.71,5,2,40,0,1,1,0,0,,,,,
39,Daniel Sotres,es ESP,GK,Racing Sant,18,1993,2,1,134,1.5,5,3.36,15,10,66.7,0,0,1,0,0,,,,,
40,ToÒo,es ESP,GK,Racing Sant,31,1979,25,25,"2,162",24,33,1.37,138,105,76.1,4,11,10,10,40,,,,,
41,VÌctor ValdÈs,es ESP,GK,Barcelona,29,1982,35,35,"3,150",35,28,0.8,95,67,70.5,25,7,3,17,48.6,,,,,
42,Javi Varas,es ESP,GK,Sevilla,28,1982,25,25,"2,250",25,35,1.4,125,90,72,6,9,10,9,36,,,,,
43,EÒaut Zubikarai,es ESP,GK,Real Sociedad,27,1984,1,1,90,1,1,1,6,5,83.3,0,1,0,0,0,,,,,
