,,,,,,,Playing Time,,,,Performance,,,,,,,,Performance,,,Penalty Kicks,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
1,Antonio Ad·n,es ESP,GK,Betis,30,1987,30,30,"2,700",30,53,1.77,126,79,60.3,14,4,12,9,30,4,3,1,0,25
2,Sergio ¡Ålvarez,es ESP,GK,Celta Vigo,30,1986,17,16,"1,475",16.4,29,1.77,75,47,62.7,3,6,7,3,18.8,1,1,0,0,0
3,Jon Ander Serantes,es ESP,GK,Legan·s,27,1989,1,1,90,1,2,2,9,7,77.8,1,0,0,0,0,0,0,0,0,
4,Miguel ¡Ångel Moy·,es ESP,GK,Real Sociedad,33,1984,9,9,765,8.5,8,0.94,30,24,80,3,2,4,3,33.3,3,2,1,0,33.3
5,Kepa Arrizabalaga,es ESP,GK,Athletic Club,22,1994,30,30,"2,700",30,43,1.43,135,95,68.9,7,9,14,7,23.3,3,1,2,0,66.7
6,Sergio Asenjo,es ESP,GK,Villarreal,28,1989,23,23,"2,070",23,30,1.3,91,62,70.3,12,3,8,6,26.1,5,3,2,0,40
7,Mariano Barbosa,ar ARG,GK,Villarreal,33,1984,13,12,"1,125",12.5,14,1.12,48,35,72.9,6,3,3,5,41.7,1,1,0,0,0
8,Rub·n Blanco,es ESP,GK,Celta Vigo,22,1995,22,22,"1,941",21.6,31,1.44,86,58,67.4,10,4,8,4,18.2,4,3,0,1,0
9,Yassine Bounou,ma MAR,GK,Girona,26,1991,30,30,"2,655",29.5,46,1.56,135,94,68.9,13,6,11,9,30,5,4,0,1,0
10,Kiko Casilla,es ESP,GK,Real Madrid,30,1986,10,10,900,10,11,1.1,30,20,63.3,6,2,2,3,30,0,0,0,0,
11,Nereo Champagne,ar ARG,GK,Legan·s,32,1985,2,2,180,2,6,3,9,4,44.4,0,0,2,0,0,1,1,0,0,0
12,Leandro Chichizola,ar ARG,GK,Las Palmas,27,1990,27,27,"2,430",27,47,1.74,150,107,70.7,4,5,18,4,14.8,3,3,0,0,0
13,Jasper Cillessen,nl NED,GK,Barcelona,28,1989,1,1,90,1,1,1,7,6,85.7,1,0,0,0,0,0,0,0,0,
14,Iv·n Cu·llar,es ESP,GK,Legan·s,33,1984,35,35,"3,150",35,43,1.23,140,101,72.9,11,7,17,14,40,6,5,1,0,16.7
