,,,,,,,Playing Time,,,,Performance,,,,,,,,Performance,,,Penalty Kicks,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
1,Antonio Ad·n,es ESP,GK,Betis,28,1987,36,36,"3,213",35.7,50,1.4,179,129,72.1,10,11,15,12,33.3,1,0,0,1,
2,Sergio ¡Ålvarez,es ESP,GK,Celta Vigo,28,1986,31,30,"2,725",30.3,47,1.55,126,82,65.1,12,8,10,7,23.3,4,3,0,1,0
3,Diego Alves,br BRA,GK,Valencia,30,1985,13,13,"1,170",13,21,1.62,68,48,70.6,6,1,6,1,7.7,1,1,0,0,0
4,Alphonse Areola,fr FRA,GK,Villarreal,22,1993,32,32,"2,880",32,26,0.81,104,80,76,17,8,7,15,46.9,2,1,1,0,50
5,Giedrius Arlauskis,lt LTU,GK,Espanyol,27,1987,3,3,225,2.5,12,4.8,18,7,38.9,0,0,3,0,0,1,1,0,0,0
6,Sergio Asenjo,es ESP,GK,Villarreal,26,1989,4,4,360,4,5,1.25,17,13,76.5,1,2,1,2,50,1,1,0,0,0
7,Mariano Barbosa,ar ARG,GK,Villarreal,31,1984,2,2,180,2,4,2,10,6,60,0,0,2,0,0,0,0,0,0,
8,Beto,pt POR,GK,Sevilla,33,1982,4,4,360,4,8,2,21,14,66.7,0,2,2,1,25,1,1,0,0,0
9,RubÈn Blanco,es ESP,GK,Celta Vigo,20,1995,8,8,689,7.6,12,1.57,29,18,58.6,5,1,2,3,37.5,1,0,1,0,100
10,Claudio Bravo,cl CHI,GK,Barcelona,32,1983,32,32,"2,878",32,22,0.69,107,86,80.4,24,4,4,16,50,1,1,0,0,0
11,Juan Carlos,es ESP,GK,Rayo Vallecano,27,1988,21,19,"1,801",20,36,1.8,98,66,66.3,4,8,7,3,15.8,4,3,1,0,25
12,Kiko Casilla,es ESP,GK,Real Madrid,28,1986,4,4,360,4,6,1.5,20,14,70,3,0,1,1,25,0,0,0,0,
13,Iv·n CuÈllar,es ESP,GK,Sporting GijÛn,31,1984,32,32,"2,880",32,49,1.53,157,114,72,8,8,16,7,21.9,8,5,1,2,16.7
14,NÈstor DÌaz,es ESP,GK,Celta Vigo,23,1992,1,0,4,0.1,0,0,0,0,,0,0,0,0,,0,0,0,0,
15,Jaume DomÈnech,es ESP,GK,Valencia,24,1990,17,17,"1,530",17,18,1.06,78,62,76.9,5,6,6,5,29.4,2,0,2,0,100
16,AndrÈs Fern·ndez,es ESP,GK,Granada,28,1986,37,37,"3,329",37,67,1.81,166,103,62,10,8,19,4,10.8,5,4,0,1,0
17,Alberto GarcÌa,es ESP,GK,Sporting GijÛn,30,1985,6,6,540,6,13,2.17,36,26,66.7,2,1,3,0,0,3,1,2,0,66.7
18,Dani GimÈnez,es ESP,GK,Betis,32,1983,3,2,207,2.3,2,0.87,7,5,71.4,1,1,0,0,0,0,0,0,0,
19,Vicente Guaita,es ESP,GK,Getafe,28,1987,38,38,"3,420",38,67,1.76,179,122,67,9,9,20,8,21.1,11,8,2,1,20
20,Iago HerrerÌn,es ESP,GK,Athletic Club,27,1988,2,1,174,1.9,8,4.14,7,1,14.3,1,0,0,0,0,2,2,0,0,0
21,Gorka Iraizoz,es ESP,GK,Athletic Club,34,1981,37,37,"3,243",36,37,1.03,124,92,73.4,17,8,12,13,35.1,5,4,1,0,20
22,Xabi Irureta,es ESP,GK,Eibar,29,1986,5,5,450,5,8,1.6,24,16,66.7,3,1,1,0,0,0,0,0,0,
23,Jes˙s,es ESP,GK,Granada,27,1988,1,1,90,1,2,2,6,4,66.7,0,1,0,0,0,0,0,0,0,
24,Carlos Kameni,cm CMR,GK,M·laga,31,1984,28,28,"2,467",27.4,25,0.91,99,76,75.8,8,9,11,9,32.1,2,1,1,0,50
25,Ra˙l Lizoain,es ESP,GK,Las Palmas,24,1991,8,7,707,7.9,13,1.65,46,35,76.1,1,1,5,2,28.6,2,2,0,0,0
