,,,,,,,Playing Time,,,,Performance,,,,,,,,Performance,,,Penalty Kicks,,,
26,Pau LÛpez,es ESP,GK,Espanyol,20,1994,36,35,"3,195",35.5,62,1.75,153,96,62.7,12,7,16,7,20,5,5,0,0,0
27,Germ·n Lux,ar ARG,GK,La CoruÒa,33,1982,29,29,"2,557",28.4,38,1.34,106,72,67,7,15,7,6,20.7,5,3,1,1,25
28,Manu,es ESP,GK,La CoruÒa,29,1986,8,7,682,7.6,17,2.24,32,15,46.9,1,3,3,1,14.3,0,0,0,0,
29,Diego MariÒo,es ESP,GK,Levante,25,1990,23,23,"2,070",23,43,1.87,119,79,66.4,6,3,14,3,13,3,3,0,0,0
30,Keylor Navas,cr CRC,GK,Real Madrid,28,1986,34,34,"3,060",34,28,0.82,117,92,76.9,25,6,3,13,38.2,4,1,3,0,75
31,Jan Oblak,si SVN,GK,AtlÈtico Madrid,22,1993,38,38,"3,420",38,18,0.47,99,82,82.8,28,4,6,24,63.2,1,1,0,0,0
32,Guillermo Ochoa,mx MEX,GK,M·laga,30,1985,11,10,953,10.6,10,0.94,39,29,74.4,4,3,3,3,30,0,0,0,0,
33,Oier Olaz·bal,es ESP,GK,Real Sociedad,25,1989,3,2,227,2.5,5,1.98,7,4,57.1,1,0,1,1,50,2,2,0,0,0
34,Stipe Pletikosa,hr CRO,GK,La CoruÒa,36,1979,2,2,180,2,6,3,11,5,45.5,0,0,2,0,0,0,0,0,0,
35,Sergio Rico,es ESP,GK,Sevilla,21,1993,34,34,"3,060",34,42,1.24,153,112,73.2,14,8,12,10,29.4,2,1,0,1,0
36,Asier Riesgo,es ESP,GK,Eibar,31,1983,34,34,"3,060",34,54,1.59,130,80,60.8,9,9,16,7,20.6,4,3,1,0,25
37,RubÈn,es ESP,GK,Levante,31,1984,15,15,"1,350",15,27,1.8,64,40,60.9,2,5,8,3,20,4,2,1,1,33.3
38,GerÛnimo Rulli,ar ARG,GK,Real Sociedad,23,1992,36,36,"3,191",35.5,43,1.21,144,105,72.2,12,9,15,12,33.3,6,3,1,2,25
39,Mathew Ryan,au AUS,GK,Valencia,23,1992,8,8,720,8,9,1.13,31,23,74.2,0,4,4,1,12.5,1,1,0,0,0
40,Marc-AndrÈ ter Stegen,de GER,GK,Barcelona,23,1992,7,6,542,6,7,1.16,21,14,66.7,5,0,1,3,50,0,0,0,0,
41,ToÒo,es ESP,GK,Rayo Vallecano,35,1979,10,10,807,9,13,1.45,34,24,67.6,4,1,5,3,30,3,2,1,0,33.3
42,Javi Varas,es ESP,GK,Las Palmas,32,1982,31,31,"2,710",30.1,40,1.33,135,96,71.1,11,7,13,9,29,2,1,0,1,0
43,Yoel,es ESP,GK,Rayo Vallecano,26,1988,9,9,810,9,24,2.67,50,28,56,1,2,6,0,0,2,2,0,0,0
