,,,,,,,Playing Time,,,,Performance,,,,,,,,Performance,,,Penalty Kicks,,,
20,Sergio Herrera,es ESP,GK,Osasuna,28,1993,36,36,"3,240",36,48,1.33,136,92,67.6,12,10,14,12,33.3,7,4,3,0,42.9
21,JeremÌas Ledesma,ar ARG,GK,C·diz,28,1993,38,38,"3,420",38,51,1.34,159,117,74.8,8,15,15,13,34.2,13,11,2,0,15.4
22,Diego LÛpez,es ESP,GK,Espanyol,39,1981,36,36,"3,177",35.3,49,1.39,152,106,69.7,10,12,14,10,27.8,4,3,0,1,0
23,Andriy Lunin,ua UKR,GK,Real Madrid,22,1999,2,2,180,2,2,1,7,6,85.7,0,1,1,0,0,2,1,1,0,50
24,Giorgi Mamardashvili,ge GEO,GK,Valencia,20,2000,18,18,"1,620",18,20,1.11,74,56,75.7,5,7,6,8,44.4,2,2,0,0,0
25,LuÌs Maximiano,pt POR,GK,Granada,22,1999,35,35,"3,136",34.8,55,1.58,170,121,70.6,8,12,15,7,20,7,5,2,0,28.6
26,Neto,br BRA,GK,Barcelona,32,1989,3,3,270,3,4,1.33,14,10,71.4,2,1,0,0,0,0,0,0,0,
27,Jan Oblak,si SVN,GK,Atl·tico Madrid,28,1993,38,38,"3,420",38,43,1.13,96,62,62.5,21,8,9,12,31.6,8,7,1,0,12.5
28,Oier Olaz·bal,es ESP,GK,Espanyol,31,1989,2,1,135,1.5,1,0.67,7,7,100,0,0,1,1,100,1,1,0,0,0
29,Jes˙s Owono,gq EQG,GK,Alav·s,20,2001,1,1,90,1,1,1,4,3,75,0,1,0,0,0,0,0,0,0,
30,Fernando Pacheco,es ESP,GK,Alav·s,29,1992,34,34,"3,053",33.9,60,1.77,139,83,60.4,8,5,21,6,17.6,8,5,3,0,37.5
31,Juan P·rez,es ESP,GK,Osasuna,25,1996,2,2,180,2,3,1.5,4,2,25,0,1,1,0,0,0,0,0,0,
32,Alejandro Primo,es ESP,GK,Levante,17,2004,1,1,90,1,1,1,2,1,50,1,0,0,0,0,0,0,0,0,
33,Manolo Reina,es ESP,GK,Mallorca,36,1985,21,21,"1,890",21,26,1.24,72,47,66.7,6,9,6,8,38.1,3,2,1,0,33.3
34,¡Ålex Remiro,es ESP,GK,Real Sociedad,26,1995,35,35,"3,150",35,32,0.91,107,77,73.8,15,11,9,19,54.3,5,4,1,0,20
35,Sergio Rico,es ESP,GK,Mallorca,27,1993,14,14,"1,260",14,29,2.07,52,28,50,4,0,10,1,7.1,4,3,1,0,25
36,Leonardo Rom·n,es ESP,GK,Mallorca,21,2000,2,2,180,2,5,2.5,13,10,69.2,0,0,2,0,0,1,1,0,0,0
37,GerÛnimo Rulli,ar ARG,GK,Villarreal,29,1992,32,32,"2,880",32,28,0.87,97,70,74.2,14,9,9,14,43.8,4,3,1,0,25
38,Mathew Ryan,au AUS,GK,Real Sociedad,29,1992,3,3,270,3,5,1.67,15,11,73.3,2,0,1,1,33.3,1,1,0,0,0
39,Rui Silva,pt POR,GK,Betis,27,1994,22,21,"1,964",21.8,21,0.96,72,52,73.6,11,4,6,8,38.1,2,2,0,0,0
40,Unai SimÛn,es ESP,GK,Athletic Club,24,1997,34,34,"3,060",34,31,0.91,106,74,73.6,13,11,10,12,35.3,3,3,0,0,0
41,Antonio Sivera,es ESP,GK,Alav·s,24,1996,4,3,277,3.1,4,1.3,15,12,80,0,1,2,1,33.3,1,1,0,0,0
42,David Soria,es ESP,GK,Getafe,28,1993,38,38,"3,414",37.9,41,1.08,130,89,70,8,15,15,14,36.8,4,2,1,1,33.3
43,Marc-AndrÈ ter Stegen,de GER,GK,Barcelona,29,1992,35,35,"3,150",35,34,0.97,110,78,70.9,19,9,7,11,31.4,3,2,1,0,33.3
44,R˙ben Vezo,pt POR,DF,Levante,27,1994,1,1,4,26.9,0,0,0,0,,0,1,0,0,0,0,0,0,0,
45,Luca Zidane,fr FRA,"GK,MF",Rayo Vallecano,23,1998,8,8,645,7.2,13,1.81,37,24,64.9,0,1,7,0,0,0,0,0,0,
