,,,,,,,Playing Time,,,,Performance,,,,,,,,Performance,,,Penalty Kicks,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
1,Julen Agirrezabala,es ESP,GK,Athletic Club,20,2000,4,4,360,4,5,1.25,20,15,75,1,2,1,1,25,0,0,0,0,
2,Sergio Asenjo,es ESP,GK,Villarreal,32,1989,6,6,540,6,9,1.5,27,19,70.4,2,2,2,0,0,1,1,0,0,0
3,…dgar BadÌa,es ESP,GK,Elche,29,1992,24,24,"2,160",24,35,1.46,106,77,73.6,8,5,11,5,20.8,9,7,1,1,12.5
4,Yassine Bounou,ma MAR,GK,Sevilla,30,1991,31,31,"2,790",31,24,0.77,98,75,77.6,14,13,4,13,41.9,4,2,1,1,33.3
5,Claudio Bravo,cl CHI,GK,Betis,38,1983,17,17,"1,456",16.2,19,1.17,55,39,67.3,8,4,5,5,29.4,1,1,0,0,0
6,C·rdenas,es ESP,GK,Levante,24,1997,24,24,"2,160",24,46,1.92,115,71,63.5,6,6,12,5,20.8,4,4,0,0,0
7,Kiko Casilla,es ESP,GK,Elche,34,1986,14,14,"1,260",14,17,1.21,60,43,71.7,3,4,7,3,21.4,0,0,0,0,
8,Jasper Cillessen,nl NED,GK,Valencia,32,1989,17,17,"1,457",16.2,29,1.79,71,47,66.2,4,8,5,3,17.6,6,5,1,0,16.7
9,Diego Conde,es ESP,GK,Getafe,22,1998,1,0,6,0.1,0,0,0,0,,0,0,0,1,,0,0,0,0,
10,Thibaut Courtois,be BEL,GK,Real Madrid,29,1992,36,36,"3,240",36,29,0.81,116,88,76.7,26,7,3,16,44.4,3,2,1,0,33.3
11,Javier DÌaz,es ESP,GK,Sevilla,24,1997,1,1,90,1,1,1,2,1,50,0,1,0,0,0,0,0,0,0,
12,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,27,1993,31,30,"2,772",30.8,37,1.2,116,86,74.1,11,8,11,9,30,9,7,2,0,22.2
13,MatÌas Dituro,ar ARG,GK,Celta Vigo,34,1987,38,38,"3,420",38,43,1.13,128,91,69.5,12,10,16,14,36.8,8,4,4,0,50
14,Marko Dmitrovi?,rs SRB,GK,Sevilla,29,1992,6,6,540,6,5,0.83,18,13,72.2,4,2,0,4,66.7,0,0,0,0,
15,Jaume Dom·nech,es ESP,GK,Valencia,30,1990,4,3,343,3.8,4,1.05,11,8,63.6,2,0,1,1,33.3,0,0,0,0,
16,AarÛn Escandell,es ESP,GK,Granada,25,1995,4,3,284,3.2,6,1.9,14,10,71.4,0,2,1,1,33.3,2,2,0,0,0
17,Aitor Fern·ndez,es ESP,GK,Levante,30,1991,13,13,"1,166",13,29,2.24,79,51,64.6,1,5,7,2,15.4,2,1,1,0,50
18,Joan GarcÌa,es ESP,GK,Espanyol,20,2001,2,1,108,1.2,3,2.5,3,0,0,0,0,1,0,0,0,0,0,0,
19,Dominik Greif,sk SVK,GK,Mallorca,24,1997,1,1,90,1,3,3,6,3,50,0,0,1,0,0,0,0,0,0,
