,,,,,,,Playing Time,,,,Performance,,,,,,,,Performance,,,Penalty Kicks,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
1,Antonio Ad·n,es ESP,GK,Real Madrid,23,1987,3,2,260,2.9,0,0,7,7,100,2,0,0,2,100,,,,,
2,Unai Alba,es ESP,GK,HÈrcules,32,1978,2,1,101,1.1,2,1.78,6,4,66.7,0,1,0,1,100,,,,,
3,Cristian ¡Ålvarez,ar ARG,GK,Espanyol,24,1985,5,5,450,5,8,1.6,25,17,68,3,0,2,1,20,,,,,
4,Diego Alves,br BRA,GK,AlmerÌa,25,1985,33,33,"2,970",33,56,1.7,193,137,71,5,11,17,2,6.1,,,,,
5,Miguel ¡Ångel Moy·,es ESP,GK,Valencia,26,1984,4,4,360,4,4,1,18,14,77.8,1,2,1,1,25,,,,,
6,Dudu Aouate,il ISR,GK,Mallorca,32,1977,35,35,"3,105",34.5,54,1.57,166,112,67.5,11,6,17,8,22.9,,,,,
7,Daniel Aranzubia,es ESP,GK,La CoruÒa,30,1979,32,32,"2,880",32,36,1.13,145,109,75.2,10,10,12,11,34.4,,,,,
8,Francesc Arnau,es ESP,GK,M·laga,35,1975,9,7,719,8,12,1.5,38,26,68.4,2,1,5,2,28.6,,,,,
9,Sergio Asenjo,es ESP,GK,M·laga,21,1989,5,5,366,4.1,11,2.7,28,17,60.7,1,2,3,1,20,,,,,
10,Claudio Bravo,cl CHI,GK,Real Sociedad,27,1983,38,38,"3,420",38,66,1.74,205,139,67.8,14,3,21,9,23.7,,,,,
11,Willy Caballero,ar ARG,GK,M·laga,28,1981,15,15,"1,345",14.9,19,1.27,74,55,74.3,7,3,4,5,33.3,,,,,
12,Juan Calatayud,es ESP,GK,HÈrcules,30,1979,34,34,"3,049",33.9,53,1.56,185,132,71.4,11,7,16,7,20.6,,,,,
13,Iker Casillas,es ESP,GK,Real Madrid,29,1981,35,35,"3,062",34,32,0.94,115,83,72.2,26,5,4,14,40,,,,,
14,Jordi Codina,es ESP,GK,Getafe,28,1982,23,22,"2,056",22.8,33,1.44,117,84,71.8,7,6,10,7,31.8,,,,,
15,Iv·n CuÈllar,es ESP,GK,Sporting GijÛn,26,1984,13,13,"1,147",12.7,12,0.94,45,33,73.3,4,4,4,6,46.2,,,,,
16,Toni Doblas,es ESP,GK,Zaragoza,29,1980,18,17,"1,543",17.1,21,1.22,76,55,72.4,6,3,7,3,17.6,,,,,
17,Ra˙l DomÌnguez,es ESP,GK,Sporting GijÛn,23,1986,1,1,90,1,1,1,4,3,75,1,0,0,0,0,,,,,
18,Jerzy Dudek,pl POL,GK,Real Madrid,37,1973,1,1,76,0.8,1,1.18,2,1,50,1,0,0,0,0,,,,,
19,Esteban,es ESP,GK,AlmerÌa,35,1975,5,5,450,5,14,2.8,41,27,65.9,1,1,3,1,20,,,,,
20,Mario Fern·ndez,es ESP,GK,Racing Sant,22,1988,1,1,90,1,2,2,11,9,81.8,0,0,1,0,0,,,,,
21,Ra˙l Fern·ndez,es ESP,GK,Athletic Club,22,1988,1,1,90,1,1,1,4,3,75,1,0,0,0,0,,,,,
