,,,,,,,Playing Time,,,,Performance,,,,,,,,Performance,,,Penalty Kicks,,,
22,Leo Franco,ar ARG,GK,Zaragoza,33,1977,23,21,"1,876",20.8,32,1.54,96,64,66.7,6,6,10,6,28.6,,,,,
23,Rodrigo Galatto,br BRA,GK,M·laga,27,1983,4,4,360,4,12,3,34,22,64.7,1,0,3,0,0,,,,,
24,David de Gea,es ESP,GK,AtlÈtico Madrid,19,1990,38,38,"3,420",38,53,1.39,199,146,73.4,17,7,14,11,28.9,,,,,
25,Vicente Guaita,es ESP,GK,Valencia,23,1987,21,19,"1,795",19.9,26,1.3,94,68,72.3,12,2,7,6,31.6,,,,,
26,Gorka Iraizoz,es ESP,GK,Athletic Club,29,1981,37,37,"3,330",37,54,1.46,171,117,68.4,18,4,16,9,24.3,,,,,
27,Carlos Kameni,cm CMR,GK,Espanyol,26,1984,33,33,"2,970",33,47,1.42,181,134,74,12,4,17,9,27.3,,,,,
28,Diego LÛpez,es ESP,GK,Villarreal,28,1981,38,38,"3,420",38,44,1.16,174,130,74.7,18,8,12,13,34.2,,,,,
29,Germ·n Lux,ar ARG,GK,Mallorca,28,1982,4,3,315,3.5,2,0.57,9,7,77.8,1,2,1,2,66.7,,,,,
30,Manu,es ESP,GK,La CoruÒa,24,1986,6,6,540,6,11,1.83,39,28,71.8,0,3,3,2,33.3,,,,,
31,JosÈ Manuel Pinto,es ESP,GK,Barcelona,34,1975,6,6,540,6,5,0.83,20,15,75,5,0,1,2,33.3,,,,,
32,Tom·s MejÌas,es ESP,GK,Real Madrid,21,1989,1,0,8,0.1,0,0,0,0,,0,0,0,0,,,,,,
33,Gustavo Mun˙a,uy URU,GK,Levante,32,1978,20,20,"1,800",20,27,1.35,88,61,69.3,8,5,7,7,35,,,,,
34,Juan Pablo Colinas,es ESP,GK,Sporting GijÛn,31,1978,25,24,"2,183",24.3,29,1.2,104,75,72.1,6,10,9,8,33.3,,,,,
35,AndrÈs Palop,es ESP,GK,Sevilla,36,1973,19,19,"1,632",18.1,28,1.54,91,63,69.2,7,4,7,3,15.8,,,,,
36,Manolo Reina,es ESP,GK,Levante,25,1985,18,18,"1,620",18,25,1.39,96,71,74,4,4,10,3,16.7,,,,,
37,Ricardo,es ESP,GK,Osasuna,38,1971,38,38,"3,420",38,46,1.21,171,125,73.1,13,8,17,14,36.8,,,,,
38,RubÈn,es ESP,GK,M·laga,26,1984,7,7,630,7,14,2,49,35,71.4,2,1,4,1,14.3,,,,,
39,CÈsar S·nchez,es ESP,GK,Valencia,38,1971,15,15,"1,265",14.1,14,1,68,54,79.4,8,4,1,5,33.3,,,,,
40,ToÒo,es ESP,GK,Racing Sant,30,1979,37,37,"3,330",37,54,1.46,184,130,70.7,12,10,15,9,24.3,,,,,
41,”scar Ustari,ar ARG,GK,Getafe,24,1986,16,16,"1,364",15.2,27,1.78,87,60,69,5,2,8,3,18.8,,,,,
42,VÌctor ValdÈs,es ESP,GK,Barcelona,28,1982,32,32,"2,880",32,16,0.5,96,80,83.3,25,6,1,17,53.1,,,,,
43,Javi Varas,es ESP,GK,Sevilla,27,1982,21,19,"1,788",19.9,33,1.66,115,82,71.3,10,3,7,5,26.3,,,,,
44,Piet Velthuizen,nl NED,GK,HÈrcules,23,1986,3,3,270,3,5,1.67,16,11,68.8,1,1,1,0,0,,,,,
