,,,,,Performance,,,,,,,,,Performance,,,,Aerial Duels,,
Rk,Player,Nation,Pos,Squad,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
1,Antonio Adán,es ESP,GK,Atlético Madrid,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,Aday,es ESP,"DF,MF",Girona,2,0,0,6,8,0,50,7,8,0,1,0,24,2,5,28.6
3,Aritz Aduriz,es ESP,FW,Athletic Club,5,0,0,28,8,12,6,0,2,0,1,0,17,52,57,47.7
4,Luis Advíncula,pe PER,DF,Rayo Vallecano,6,2,2,48,46,0,54,19,38,2,0,0,131,24,33,42.1
5,Martin Agirregabiria,es ESP,DF,Alavés,4,0,0,24,28,0,42,27,29,0,0,0,116,19,27,41.3
6,Juan Aguilera,es ESP,MF,Huesca,1,0,0,3,6,0,2,4,2,0,0,0,27,4,4,50
7,Carlos Akapo,gq EQG,DF,Huesca,2,0,0,16,13,0,7,23,15,0,0,0,54,20,14,58.8
8,Sergio Akieme,es ESP,DF,Rayo Vallecano,0,0,0,2,2,0,8,1,3,0,0,1,8,1,5,16.7
9,Jordi Alba,es ESP,DF,Barcelona,6,0,0,25,19,9,52,60,22,1,0,0,208,16,37,30.2
10,Pedro Alcalá,es ESP,DF,Girona,9,0,0,21,13,2,3,36,23,0,0,0,106,84,46,64.6
11,Rubén Alcaraz,es ESP,MF,Valladolid,13,0,0,69,109,1,39,38,54,0,0,0,268,49,66,42.6
12,Álex Alegría,es ESP,"FW,MF",Rayo Vallecano,0,0,0,7,4,3,0,0,1,0,0,0,4,6,8,42.9
13,Iván Alejo,es ESP,MF,Getafe,2,1,0,10,7,0,7,0,0,0,0,0,5,3,3,50
14,Carles Aleñá,es ESP,MF,Barcelona,2,0,0,9,14,1,3,2,4,0,0,0,38,5,4,55.6
15,Alexander,ar ARG,FW,Leganés,0,0,0,1,0,0,3,0,0,0,0,0,2,0,0,
16,Júnior Alonso,py PAR,"DF,MF",Celta Vigo,2,0,0,6,2,1,12,5,9,0,0,0,33,18,7,72
17,Sergio Álvarez,es ESP,"DF,MF",Eibar,1,0,0,19,6,1,0,17,25,0,0,0,76,35,20,63.6
18,Sergio Álvarez,es ESP,GK,Celta Vigo,1,0,0,1,0,0,0,0,0,0,1,0,18,4,0,100
19,Yeray Álvarez,es ESP,DF,Athletic Club,10,0,0,31,24,0,4,63,30,0,0,0,138,93,66,58.5
20,Ibrahim Amadou,fr FRA,"MF,DF",Sevilla,2,0,0,12,10,1,6,11,20,0,0,0,45,24,16,60
21,Jordi Amat,es ESP,DF,Rayo Vallecano,9,0,0,47,9,1,0,43,31,0,2,0,147,48,48,50
22,Amath,sn SEN,MF,Getafe,4,0,0,27,21,3,11,10,13,0,0,0,55,12,22,35.3
23,José Ángel,es ESP,DF,Eibar,10,0,0,22,17,1,260,41,46,0,1,0,234,49,34,59
24,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,1,0,0,0,1,0,0,1,1,0,0,0,18,4,0,100
25,Antoñito,es ESP,"DF,MF",Valladolid,5,0,0,29,12,5,93,18,21,0,0,0,84,12,23,34.3
26,Vitorino Antunes,pt POR,"DF,MF",Getafe,5,0,0,37,20,1,141,43,26,0,0,0,151,21,37,36.2
27,Anuar,ma MAR,"MF,FW",Valladolid,6,0,0,29,15,4,2,11,19,0,0,0,53,26,32,44.8
28,Emmanuel Apeh,ng NGA,"FW,MF",Celta Vigo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,Mauro Arambarri,uy URU,MF,Getafe,8,0,0,65,57,1,24,30,33,1,1,1,166,53,44,54.6
30,Guilherme Arana,br BRA,DF,Sevilla,3,0,0,5,8,0,19,9,6,0,0,0,35,3,3,50
31,Néstor Araujo,mx MEX,DF,Celta Vigo,3,1,1,15,4,1,2,35,22,0,1,0,127,70,46,60.3
