,,,,,Performance,,,,,,,,,Performance,,,,Aerial Duels,,
Rk,Player,Nation,Pos,Squad,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
227,Eden Hazard,be BEL,"FW,MF",Real Madrid,0,0,0,12,50,2,19,6,3,3,0,0,61,6,7,46.2
228,Mario Hermoso,es ESP,DF,Atlético Madrid,3,1,0,18,9,2,2,12,8,0,0,0,72,26,26,50
229,Aridane Hernández,gq EQG,DF,Osasuna,8,0,0,21,12,0,1,34,23,0,1,0,144,93,45,67.4
230,Javier Hernández,mx MEX,FW,Sevilla,0,0,0,7,12,10,3,5,4,0,0,0,7,10,12,45.5
231,Juan Hernández,es ESP,"FW,MF",Celta Vigo,0,0,0,0,0,0,3,1,0,0,0,0,2,0,7,0
232,Héctor Herrera,mx MEX,MF,Atlético Madrid,1,0,0,18,13,2,30,17,21,0,0,1,79,28,12,70
233,Sergio Herrera,es ESP,GK,Osasuna,2,1,0,1,7,0,0,1,1,0,0,0,16,3,0,100
234,Yangel Herrera,ve VEN,MF,Granada,14,0,0,90,56,4,9,34,49,0,0,0,180,78,53,59.5
235,Iago Herrerín,es ESP,GK,Athletic Club,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,100
236,Pablo Hervías,es ESP,"MF,FW",Valladolid,1,0,0,9,25,1,88,5,20,0,0,0,76,11,13,45.8
237,Robert Ibáñez,es ESP,"MF,FW",Osasuna,3,0,0,9,20,1,6,5,8,0,0,0,22,4,7,36.4
238,Vicente Iborra,es ESP,MF,Villarreal,10,1,0,57,46,1,2,40,42,0,1,0,171,91,59,60.7
239,Borja Iglesias,es ESP,FW,Betis,3,1,0,34,20,14,6,5,5,1,1,0,34,38,52,42.2
240,Asier Illarramendi,es ESP,MF,Real Sociedad,0,0,0,2,3,0,0,5,2,0,0,0,18,4,2,66.7
241,Takashi Inui,jp JPN,"MF,FW",Eibar,2,0,0,31,26,4,46,18,10,1,0,0,107,12,29,29.3
242,Alexander Isak,se SWE,FW,Real Sociedad,3,0,0,22,15,14,9,3,2,0,0,0,29,23,38,37.7
243,Isco,es ESP,"FW,MF",Real Madrid,2,0,0,15,30,7,39,7,9,0,0,0,64,6,17,26.1
244,Ismael,es ESP,MF,Betis,1,0,0,1,1,0,0,2,1,0,0,0,4,0,3,0
245,Ander Iturraspe,es ESP,MF,Espanyol,1,0,0,4,1,0,0,1,0,0,0,0,19,9,9,50
246,Jacobo,es ESP,"DF,MF",Celta Vigo,1,0,0,1,1,0,1,0,3,0,0,0,8,0,0,
247,Adnan Januzaj,be BEL,"FW,MF",Real Sociedad,3,0,0,25,39,2,65,7,7,0,0,0,51,4,14,22.2
248,Jason,es ESP,MF,Getafe,5,0,0,24,31,2,88,18,20,0,0,0,80,16,24,40
249,Joaquín,es ESP,"MF,FW",Betis,4,0,0,11,28,7,97,15,7,0,0,0,84,18,27,40
250,Frenkie de Jong,nl NED,MF,Barcelona,3,1,1,23,31,1,3,21,19,0,0,0,139,14,19,42.4
251,Luuk de Jong,nl NED,FW,Sevilla,2,0,0,29,37,14,3,7,10,1,0,0,60,142,114,55.5
252,Joan Jordán,es ESP,MF,Sevilla,7,0,0,64,37,2,88,26,34,1,0,0,190,34,28,54.8
253,Willian José,br BRA,FW,Real Sociedad,4,0,0,27,25,15,8,1,2,0,0,0,54,41,33,55.4
254,Joselu,es ESP,FW,Alavés,6,0,0,51,58,6,4,13,17,1,0,0,100,307,156,66.3
255,Luka Jovic,rs SRB,FW,Real Madrid,2,0,0,5,1,4,0,2,1,0,0,0,9,15,9,62.5
256,Juanmi,es ESP,"FW,MF",Betis,2,1,1,2,1,2,2,0,1,0,0,0,11,4,2,66.7
257,David Juncà,es ESP,DF,Celta Vigo,1,0,0,5,7,1,14,2,5,0,0,0,15,3,0,100
258,Lago Junior,ci CIV,"MF,FW",Mallorca,3,0,0,38,45,10,58,14,19,0,3,0,119,48,50,49
259,Vinicius Júnior,br BRA,"FW,MF",Real Madrid,4,0,0,19,26,9,30,3,16,1,0,0,66,4,4,50
260,Lee Kangin,kr KOR,"MF,FW",Valencia,1,2,0,8,8,0,22,3,1,0,0,0,15,2,5,28.6
261,Wilfrid Kaptoum,cm CMR,MF,Betis,1,0,0,1,3,0,2,1,2,0,0,0,12,1,4,20
262,Kenedy,br BRA,MF,Getafe,2,0,0,15,9,1,33,11,5,0,0,0,44,6,10,37.5
263,Kike,es ESP,FW,Eibar,2,0,0,47,29,14,16,1,7,0,0,0,56,112,173,39.3
264,Giorgi Kochorashvili,ge GEO,MF,Levante,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
265,Kenan Kodro,ba BIH,"FW,MF",Athletic Club,0,0,0,5,6,3,2,0,0,0,0,0,14,21,18,53.8
266,Koke,es ESP,MF,Atlético Madrid,5,0,0,23,33,1,87,29,42,1,1,0,172,24,34,41.4
267,Geoffrey Kondogbia,cf CTA,MF,Valencia,5,0,0,35,31,3,1,57,40,0,2,1,158,40,43,48.2
268,Jules Koundé,fr FRA,DF,Sevilla,6,0,0,21,11,0,16,23,12,0,1,0,108,93,47,66.4
269,Leonardo Koutris,gr GRE,DF,Mallorca,0,0,0,3,0,0,3,1,1,0,1,0,6,3,4,42.9
270,Ismail Köybasi,tr TUR,"DF,FW",Granada,1,0,0,3,2,0,8,5,4,0,0,0,12,3,5,37.5
271,Toni Kroos,de GER,MF,Real Madrid,2,0,0,28,43,2,145,23,28,0,0,0,173,12,11,52.2
272,Takefusa Kubo,jp JPN,"MF,FW",Mallorca,4,0,0,35,64,4,80,23,22,2,0,0,114,11,26,29.7
273,Víctor Laguardia,es ESP,DF,Alavés,9,1,0,36,7,2,3,37,15,0,0,0,134,64,39,62.1
274,Diego Lainez,mx MEX,"MF,FW",Betis,0,0,0,8,14,0,11,1,5,0,0,0,8,2,13,13.3
275,Larra,es ESP,"FW,MF",Athletic Club,0,0,0,6,3,1,14,0,2,1,0,0,10,6,7,46.2
276,Toni Lato,es ESP,"DF,MF",Osasuna,3,0,0,13,3,0,13,8,15,0,0,0,28,11,19,36.7
277,Robin Le Normand,fr FRA,DF,Real Sociedad,6,0,0,28,22,0,0,20,27,0,3,0,108,86,53,61.9
278,Wu Lei,cn CHN,"FW,MF",Espanyol,3,0,0,16,18,15,27,15,8,0,0,0,55,30,48,38.5
279,Iñigo Lekue,es ESP,"FW,DF",Athletic Club,0,0,0,13,2,1,39,3,12,0,1,0,31,8,11,42.1
280,Thomas Lemar,fr FRA,MF,Atlético Madrid,2,0,0,7,11,0,31,6,8,0,0,0,58,7,11,38.9
281,Clément Lenglet,fr FRA,DF,Barcelona,11,2,2,32,25,2,0,35,31,0,1,0,139,59,38,60.8
282,Pedro León,es ESP,"MF,FW",Eibar,4,0,0,21,18,10,190,19,20,0,0,0,73,33,47,41.3
283,Sergio León,es ESP,FW,Levante,2,0,0,12,10,13,6,1,3,0,0,0,12,11,13,45.8
284,Lillo,es ESP,DF,Osasuna,2,0,0,3,2,1,11,2,2,0,0,0,10,3,1,75
285,Diego Llorente,es ESP,DF,Real Sociedad,7,1,1,21,16,3,1,28,14,1,2,0,151,70,53,56.9
286,Marcos Llorente,es ESP,"MF,FW",Atlético Madrid,4,0,0,24,13,4,8,14,15,1,0,0,72,17,24,41.5
287,Stanislav Lobotka,sk SVK,MF,Celta Vigo,1,0,0,11,21,1,4,8,11,0,0,0,91,13,7,65
288,Renan Lodi,br BRA,DF,Atlético Madrid,6,1,1,42,44,11,87,38,46,0,0,0,144,27,34,44.3
289,Rony Lopes,pt POR,FW,Sevilla,0,0,0,0,1,0,5,2,0,0,0,0,7,0,3,0
290,Adrián López,es ESP,FW,Osasuna,0,0,0,9,6,6,16,4,5,0,0,0,37,43,71,37.7
291,David López,es ESP,"DF,MF",Espanyol,5,1,1,33,25,1,12,35,20,0,0,0,188,76,56,57.6
292,Diego López,es ESP,GK,Espanyol,5,1,1,1,5,0,0,2,2,0,0,0,60,6,1,85.7
293,Javi López,es ESP,DF,Alavés,0,0,0,1,0,0,5,1,5,0,1,0,1,0,0,
294,Javi López,es ESP,DF,Espanyol,5,1,1,28,23,0,35,21,34,0,1,0,109,25,22,53.2
295,Lluis López,es ESP,DF,Espanyol,1,0,0,2,1,0,2,1,2,0,0,0,8,6,3,66.7
296,Roberto López,es ESP,"FW,MF",Real Sociedad,0,0,0,0,3,1,3,0,2,0,0,0,4,3,3,50
297,Unai López,es ESP,MF,Athletic Club,6,0,0,37,17,1,101,18,22,0,0,0,144,22,23,48.9
298,Losada,es ESP,"MF,FW",Celta Vigo,0,0,0,0,0,0,3,0,0,0,0,0,3,1,0,100
299,Pol Lozano,es ESP,MF,Espanyol,0,1,0,7,0,0,1,1,3,0,0,0,21,1,0,100
300,José Luis Gayà,es ESP,DF,Valencia,5,0,0,15,29,2,79,18,30,1,0,0,110,19,31,38
301,José Luis Morales,es ESP,"FW,MF",Levante,3,0,0,18,15,15,69,6,8,0,0,0,101,13,22,37.1
303,Darwin Machís,ve VEN,"FW,MF",Granada,5,0,0,43,43,12,141,31,13,0,0,0,98,21,38,35.6
304,Lisandro Magallán,ar ARG,DF,Alavés,4,0,0,19,5,1,0,16,15,0,1,0,51,32,27,54.2
305,Abdallahi Mahmoud,mr MTN,MF,Alavés,1,0,0,3,4,0,0,5,4,0,0,0,10,3,4,42.9
306,Nemanja Maksimovi?,rs SRB,MF,Getafe,5,0,0,22,11,1,8,56,28,0,0,0,136,74,73,50.3
307,Hugo Mallo,es ESP,DF,Celta Vigo,7,0,0,31,27,3,85,22,42,0,0,0,87,40,28,58.8
308,Aïssa Mandi,dz ALG,DF,Betis,9,0,0,29,18,5,3,38,15,0,0,0,107,59,42,58.4
309,Eliaquim Mangala,fr FRA,DF,Valencia,3,1,1,13,1,1,0,7,4,0,1,0,28,16,10,61.5
310,Marcelo,br BRA,DF,Real Madrid,2,0,0,7,18,0,58,18,11,2,0,0,91,10,7,58.8
311,Óscar de Marcos,es ESP,"DF,FW",Athletic Club,1,0,0,9,3,2,20,8,3,0,0,0,28,7,9,43.8
312,Miguel Marí,es ESP,MF,Eibar,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
313,José María Giménez,uy URU,DF,Atlético Madrid,2,0,0,14,15,2,0,23,16,0,0,0,87,53,19,73.6
314,Mariano,do DOM,"FW,MF",Real Madrid,1,0,0,2,0,0,0,0,0,0,0,0,2,2,2,50
315,Adrián Marín,es ESP,DF,Alavés,1,0,0,25,4,0,18,13,15,0,1,0,34,9,7,56.3
316,Guillermo Maripán,cl CHI,DF,Alavés,0,0,0,0,0,0,0,2,1,0,0,0,2,5,2,71.4
317,Roger Martí,es ESP,FW,Levante,6,1,1,57,32,10,18,6,11,2,0,1,49,36,70,34
318,Daniel Martín,es ESP,GK,Betis,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0,100
319,Álex Martínez,es ESP,DF,Granada,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,
320,Iñigo Martínez,es ESP,DF,Athletic Club,10,0,0,30,36,3,19,39,30,0,1,1,210,112,54,67.5
321,Javi Martínez,es ESP,MF,Osasuna,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50
322,Pablo Martínez,es ESP,MF,Levante,0,0,0,1,1,0,0,0,0,0,0,0,7,0,1,0
323,Jordi Masip,es ESP,GK,Valladolid,2,0,0,0,2,0,0,1,1,0,0,0,35,5,1,83.3
324,Jaime Mata,es ESP,FW,Getafe,14,0,0,85,53,38,58,7,13,1,0,0,94,102,137,42.7
325,Borja Mayoral,es ESP,FW,Levante,2,0,0,18,26,14,19,4,3,0,0,0,63,33,57,36.7
326,Óscar Melendo,es ESP,"MF,FW",Espanyol,0,0,0,7,40,0,12,2,4,0,0,0,44,6,16,27.3
327,Gonzalo Melero,es ESP,MF,Levante,4,0,0,32,29,3,2,9,13,0,0,0,74,27,39,40.9
328,Arthur Melo,br BRA,MF,Barcelona,1,0,0,11,44,1,14,4,10,0,0,0,72,3,6,33.3
329,Brais Méndez,es ESP,"MF,FW",Celta Vigo,4,0,0,28,36,5,43,12,11,0,0,0,76,32,46,41
330,Édgar Méndez,es ESP,"MF,FW",Alavés,3,0,0,22,18,11,17,5,7,0,0,0,45,13,24,35.1
331,Ferland Mendy,fr FRA,DF,Real Madrid,8,1,1,25,29,1,66,22,26,1,0,0,97,26,19,57.8
332,Fran Mérida,es ESP,MF,Osasuna,9,1,1,17,17,0,21,25,15,0,0,0,105,8,7,53.3
333,Mikel Merino,es ESP,MF,Real Sociedad,9,0,0,76,91,2,32,51,52,1,0,0,289,171,107,61.5
334,Sabin Merino,es ESP,FW,Leganés,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,16.7
335,Roque Mesa,es ESP,MF,Leganés,11,0,0,36,51,1,56,11,21,0,0,0,156,11,31,26.2
336,Lionel Messi,ar ARG,FW,Barcelona,4,0,0,20,70,13,114,7,10,1,0,0,56,10,3,76.9
337,Míchel,es ESP,MF,Valladolid,6,0,0,35,16,2,100,33,28,0,0,0,181,15,30,33.3
338,Miguel,es ESP,FW,Valladolid,1,0,0,5,8,1,5,0,1,0,0,0,3,7,27,20.6
339,Éder Militão,br BRA,DF,Real Madrid,3,0,0,18,15,2,2,20,15,0,0,0,51,36,10,78.3
340,Santi Mina,es ESP,"FW,MF",Celta Vigo,4,0,0,45,40,11,30,10,8,1,1,0,71,86,95,47.5
341,Jorge Miramón,es ESP,DF,Levante,4,1,0,18,22,0,74,46,27,0,2,0,169,27,29,48.2
342,Luka Modric,hr CRO,MF,Real Madrid,7,1,0,32,28,1,52,22,18,1,0,0,132,11,23,32.4
343,Jorge Molina,es ESP,FW,Getafe,6,1,0,34,47,16,17,4,2,1,0,0,81,77,117,39.7
344,Jon Moncayola,es ESP,"MF,DF",Osasuna,4,0,0,30,7,0,9,16,30,0,0,0,117,21,27,43.8
345,Nacho Monreal,es ESP,DF,Real Sociedad,3,0,0,35,17,2,62,43,16,0,0,0,87,53,49,52
346,Joan Monterde,es ESP,MF,Levante,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,0
347,Ángel Montoro,es ESP,MF,Granada,6,0,0,21,18,1,49,13,8,0,0,0,70,3,6,33.3
348,Álvaro Morata,es ESP,FW,Atlético Madrid,6,1,1,54,59,37,11,5,8,1,0,0,68,127,98,56.4
349,Alberto Moreno,es ESP,DF,Villarreal,6,0,0,20,7,0,32,25,16,0,0,0,69,12,14,46.2
350,Álex Moreno,es ESP,DF,Betis,5,0,0,31,31,4,79,23,20,0,2,0,134,19,31,38
351,Gerard Moreno,es ESP,"FW,MF",Villarreal,5,0,0,36,50,16,60,10,8,2,0,0,97,53,86,38.1
352,Manu Morlanes,es ESP,MF,Villarreal,0,0,0,6,3,0,1,2,3,0,0,0,17,1,6,14.3
353,Loren Morón,es ESP,FW,Betis,2,1,0,24,47,25,11,9,12,0,0,0,43,39,60,39.4
354,Toni Moya,es ESP,MF,Atlético Madrid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
355,Javi Moyano,es ESP,DF,Valladolid,4,0,0,21,23,1,35,27,8,0,1,0,134,43,35,55.1
356,Iker Muniain,es ESP,"FW,MF",Athletic Club,4,1,0,28,55,2,61,12,19,0,0,0,117,12,21,36.4
357,Aihen Muñoz,es ESP,DF,Real Sociedad,1,0,0,7,9,0,41,2,18,0,0,0,53,19,16,54.3
358,Javier Muñoz,es ESP,"FW,MF",Alavés,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
359,Jeison Murillo,co COL,DF,Celta Vigo,5,0,0,20,19,3,2,20,20,0,0,0,84,57,36,61.3
360,Nacho,es ESP,DF,Valladolid,2,0,0,28,11,2,78,25,22,0,1,0,121,10,20,33.3
361,Nacho,es ESP,DF,Real Madrid,3,0,0,9,7,0,16,12,6,0,0,0,22,13,10,56.5
362,Naldo,br BRA,DF,Espanyol,8,1,1,20,4,2,2,21,13,0,0,0,68,29,32,47.5
363,Marc Navarro,es ESP,"FW,DF",Leganés,1,0,0,6,0,0,7,0,3,0,0,0,5,3,7,30
364,Ximo Navarro,es ESP,DF,Alavés,8,0,0,29,32,0,19,52,19,0,1,0,112,34,32,51.5
365,Jesús Navas,es ESP,DF,Sevilla,4,0,0,18,28,3,232,31,15,0,0,0,210,15,37,28.8
366,Raúl Navas,es ESP,DF,Osasuna,2,0,0,9,4,0,0,18,5,0,0,0,40,9,15,37.5
367,Neto,br BRA,GK,Barcelona,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,100
368,Carlos Neva,es ESP,DF,Granada,2,0,0,12,38,0,77,28,11,0,1,0,85,22,30,42.3
369,Saúl Ñíguez,es ESP,"MF,DF",Atlético Madrid,10,0,0,63,26,6,27,55,59,0,0,0,211,117,100,53.9
370,Fernando Niño,es ESP,FW,Villarreal,1,0,0,7,0,0,1,0,0,0,0,0,4,2,3,40
371,Nolito,es ESP,FW,Sevilla,0,0,0,22,9,10,14,1,12,1,0,0,43,9,13,40.9
372,Nolito,es ESP,"MF,FW",Celta Vigo,3,1,1,10,2,1,10,1,5,0,0,0,24,0,3,0
373,Unai Núñez,es ESP,DF,Athletic Club,7,0,0,17,10,0,1,23,10,0,0,1,95,48,39,55.2
374,Allan Nyom,cm CMR,"DF,MF",Getafe,13,2,0,63,23,3,97,14,25,0,0,0,125,36,29,55.4
375,Jan Oblak,si SVN,GK,Atlético Madrid,0,0,0,0,7,0,0,1,0,0,0,0,31,1,1,50
376,Rafel Obrador,es ESP,DF,Mallorca,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
377,Lucas Ocampos,ar ARG,"FW,MF",Sevilla,10,1,1,42,56,12,89,22,31,1,0,0,141,30,39,43.5
378,Álvaro Odriozola,es ESP,DF,Real Madrid,3,1,1,7,4,0,6,2,2,0,0,0,13,0,6,0
379,Lucas Olaza,uy URU,DF,Celta Vigo,5,0,0,27,24,1,203,31,39,1,0,0,187,34,42,44.7
380,Oier Olazábal,es ESP,GK,Espanyol,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
381,Kiko Olivas,es ESP,DF,Valladolid,2,0,0,14,29,4,0,61,16,0,1,0,193,46,46,50
382,Paulo Oliveira,pt POR,DF,Eibar,7,1,1,20,15,0,2,42,19,0,0,1,97,87,50,63.5
383,Mathías Olivera,uy URU,DF,Getafe,7,1,1,32,17,3,49,23,40,0,1,0,107,71,76,48.3
384,Kenneth Omeruo,ng NGA,DF,Leganés,5,0,0,15,7,0,3,36,17,0,1,0,105,69,34,67
385,Javier Ontiveros,es ESP,"FW,MF",Villarreal,2,0,0,20,20,0,39,5,14,1,0,0,69,8,16,33.3
386,Fabián Orellana,cl CHI,"MF,FW",Eibar,9,1,0,21,54,9,130,20,18,1,0,0,145,15,48,23.8
387,Aimar Oroz,es ESP,FW,Osasuna,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,
388,Mikel Oyarzabal,es ESP,"FW,MF",Real Sociedad,4,0,0,33,55,16,112,13,15,0,0,0,149,46,67,40.7
389,Fernando Pacheco,es ESP,GK,Alavés,0,1,0,1,0,0,0,0,0,0,0,0,18,4,0,100
390,Jon Pacheco,es ESP,DF,Real Sociedad,0,0,0,2,0,0,1,0,0,0,0,0,3,1,1,50
391,Daniel Parejo,es ESP,MF,Valencia,6,1,1,24,92,3,161,22,41,1,1,0,243,16,15,51.6
392,Miquel Parera,es ESP,GK,Mallorca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
393,Thomas Partey,gh GHA,MF,Atlético Madrid,13,0,0,48,32,0,26,48,41,0,1,0,223,66,28,70.2
394,Paulino,es ESP,"FW,MF",Alavés,0,0,0,1,5,0,7,1,0,0,0,0,7,2,2,50
395,Gabriel Paulista,br BRA,DF,Valencia,5,0,0,16,25,0,1,48,14,0,0,0,158,80,52,60.6
396,Alfonso Pedraza,es ESP,DF,Betis,3,0,0,18,22,2,38,16,19,0,0,0,71,12,16,42.9
397,Marc Pedraza,es ESP,MF,Mallorca,0,0,0,2,0,0,0,4,1,0,0,0,3,0,3,0
398,Pedrosa,es ESP,"DF,MF",Espanyol,3,0,0,10,18,2,31,11,13,0,0,1,66,9,12,42.9
399,Rubén Peña,es ESP,DF,Villarreal,5,0,0,39,21,1,78,35,24,0,0,1,114,20,23,46.5
400,Luis Perea,es ESP,FW,Osasuna,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,25
401,Victor Perea,es ESP,"DF,FW",Espanyol,2,0,0,20,22,0,61,21,5,0,2,1,84,13,24,35.1
402,Carles Pérez,es ESP,FW,Barcelona,0,0,0,4,4,2,16,1,4,0,0,0,21,1,9,10
403,Iñigo Pérez,es ESP,MF,Osasuna,4,0,0,18,12,1,51,12,11,0,0,0,63,6,12,33.3
404,Juan Pérez,es ESP,GK,Osasuna,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,
405,Kike Pérez,es ESP,"MF,FW",Valladolid,1,0,0,8,6,0,0,10,1,0,0,0,13,3,4,42.9
406,Lucas Pérez,es ESP,FW,Alavés,4,0,0,27,19,23,139,2,6,0,0,0,66,10,27,27
407,Rubén Pérez,es ESP,MF,Leganés,9,0,0,35,41,0,6,38,27,0,1,0,205,35,29,54.7
408,Samu Pérez,es ESP,GK,Valladolid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
409,Pablo Piatti,ar ARG,"DF,MF",Espanyol,0,0,0,0,2,1,6,0,2,0,0,0,3,1,0,100
410,Cristiano Piccini,it ITA,DF,Valencia,0,0,0,1,1,0,2,2,4,0,0,0,10,0,0,
411,Tomás Pina Isla,es ESP,MF,Alavés,6,1,1,44,19,0,4,16,22,1,0,0,92,44,30,59.5
412,Pipa,es ESP,"DF,FW",Espanyol,3,0,0,6,5,0,24,6,8,0,1,0,28,8,7,53.3
413,Gerard Piqué,es ESP,DF,Barcelona,15,0,0,32,19,0,0,36,23,0,2,0,220,127,45,73.8
414,Óscar Plano,es ESP,MF,Valladolid,6,0,0,47,62,5,39,35,30,1,0,0,147,37,67,35.6
415,Pere Pons,es ESP,MF,Alavés,3,0,0,23,14,0,6,12,16,1,0,0,71,16,17,48.5
416,Pedro Porro,es ESP,"DF,MF",Valladolid,1,0,0,4,12,0,33,7,10,0,0,0,44,5,8,38.5
417,Francisco Portillo,es ESP,MF,Getafe,3,0,0,10,3,1,7,2,6,0,1,0,29,2,8,20
418,Portu,es ESP,"FW,MF",Real Sociedad,5,0,0,31,23,21,99,13,21,0,0,0,90,19,51,27.1
419,Sergio Postigo,es ESP,DF,Levante,6,0,0,22,13,2,2,34,15,0,1,0,144,34,38,47.2
420,Florent Poulolo,mq MTQ,DF,Getafe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
421,Darío Poveda,es ESP,MF,Atlético Madrid,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,100
422,Alejandro Pozo Pozo,es ESP,DF,Mallorca,0,0,0,21,17,1,70,23,24,0,2,0,92,7,17,29.2
423,Alejandro Pozo Pozo,es ESP,"MF,FW",Sevilla,0,0,0,0,0,0,1,0,1,0,0,0,5,0,0,
424,Abdón Prats,es ESP,FW,Mallorca,1,0,0,7,2,0,2,0,1,0,0,0,6,12,22,35.3
425,Antonio Puertas,es ESP,"FW,MF",Granada,7,0,0,39,37,5,49,12,24,0,0,0,121,63,98,39.1
426,Riqui Puig,es ESP,MF,Barcelona,1,0,0,9,11,0,1,5,7,0,0,0,27,1,7,12.5
427,Quini,es ESP,DF,Granada,2,0,0,8,6,0,17,10,14,0,0,0,40,8,8,50
428,Xavi Quintillà,es ESP,DF,Villarreal,6,0,0,26,12,0,79,12,12,0,0,0,54,10,29,25.6
429,Quique,es ESP,"FW,MF",Eibar,0,0,0,10,13,3,3,0,1,0,0,0,15,29,35,45.3
430,Nemanja Radoja,rs SRB,MF,Levante,3,0,0,27,17,2,5,23,19,0,0,0,151,42,27,60.9
431,Rafinha,br BRA,"FW,MF",Barcelona,0,0,0,3,12,0,11,1,2,0,0,0,14,0,3,0
432,Rafinha,br BRA,MF,Celta Vigo,5,0,0,35,98,2,27,33,37,0,0,0,190,27,26,50.9
433,Baba Rahman,gh GHA,DF,Mallorca,1,0,0,1,0,0,6,1,2,0,0,0,5,1,3,25
434,Antonio Raillo,es ESP,DF,Mallorca,9,1,1,32,16,3,0,22,21,0,2,0,126,66,42,61.1
435,Ivan Rakitic,hr CRO,MF,Barcelona,5,0,0,20,38,1,32,15,14,0,0,0,106,17,20,45.9
436,Sandro Ramírez,es ESP,"FW,MF",Valladolid,2,0,0,15,42,10,36,7,10,1,0,0,45,9,22,29
437,Iván Ramis,es ESP,DF,Eibar,1,0,0,4,5,0,1,4,2,0,0,0,34,21,10,67.7
438,Adrián Ramos,co COL,"FW,MF",Granada,0,0,0,5,6,3,3,1,2,0,0,0,9,15,23,39.5
439,Sergio Ramos,es ESP,DF,Real Madrid,10,0,0,52,28,7,2,49,31,1,1,0,211,67,50,57.3
440,Raúl,es ESP,"FW,MF",Betis,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,33.3
441,Recio,es ESP,MF,Leganés,11,0,0,45,44,1,22,22,19,0,0,0,106,5,14,26.3
442,Sergio Reguilón,es ESP,DF,Sevilla,8,0,0,56,46,4,100,33,30,0,0,0,165,38,39,49.4
443,Manolo Reina,es ESP,GK,Mallorca,4,0,0,0,7,0,0,5,0,0,0,0,35,7,0,100
444,Álex Remiro,es ESP,GK,Real Sociedad,0,0,0,0,5,0,0,0,0,0,0,0,40,5,0,100
445,Nico Ribaudo,es ESP,"FW,MF",Espanyol,1,0,0,5,7,0,4,1,1,0,0,0,9,0,7,0
446,Luis Rioja,es ESP,MF,Alavés,3,0,0,20,16,2,57,16,12,0,0,0,76,11,28,28.2
447,Rodrigo Riquelme,es ESP,"FW,MF",Atlético Madrid,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0
448,Cristian Rivera,es ESP,MF,Leganés,3,0,0,6,5,0,2,4,4,0,0,0,25,5,5,50
449,Rober,es ESP,DF,Levante,0,0,0,1,0,0,0,3,1,0,0,0,10,5,3,62.5
450,Roberto,es ESP,GK,Alavés,1,0,0,0,2,0,0,0,1,0,0,0,12,2,0,100
451,Sergi Roberto,es ESP,"DF,MF",Barcelona,8,0,0,18,39,2,30,33,22,0,0,0,117,28,21,57.1
452,Joel Robles,es ESP,GK,Betis,3,1,0,1,1,0,0,0,0,0,0,0,56,5,0,100
453,Marc Roca,es ESP,MF,Espanyol,8,0,0,79,23,0,55,31,52,0,0,0,210,31,48,39.2
454,Rubén Rochina,es ESP,MF,Levante,5,0,0,29,47,2,69,12,26,1,0,0,142,20,18,52.6
455,Rodrigo,es ESP,FW,Valencia,2,1,0,19,27,8,32,9,6,2,0,0,48,28,56,33.3
456,Kévin Rodrigues,pt POR,"DF,MF",Leganés,6,1,1,42,29,2,143,31,31,0,0,0,101,21,49,30
457,Kévin Rodrigues,pt POR,DF,Real Sociedad,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100
458,Ángel Rodríguez,es ESP,FW,Getafe,6,0,0,52,26,29,25,3,8,0,0,0,61,28,70,28.6
459,Óscar Rodríguez Arnaiz,es ESP,"MF,FW",Leganés,6,1,0,32,38,1,96,14,10,0,0,0,110,17,38,30.9
460,Dani Rodríguez,es ESP,"MF,FW",Mallorca,7,0,0,62,73,6,54,38,32,3,0,0,183,32,64,33.3
461,Guido Rodríguez,ar ARG,MF,Betis,5,0,0,16,20,2,0,10,16,0,0,0,65,19,13,59.4
462,James Rodríguez,co COL,"MF,FW",Real Madrid,1,0,0,5,8,2,26,3,13,0,0,0,18,4,6,40
463,Mario Rodriguez,es ESP,MF,Granada,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,
