,,,,,Performance,,,,,,,,,Performance,,,,Aerial Duels,,
Rk,Player,Nation,Pos,Squad,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
52,Marc Bartra,es ESP,"DF,MF",Betis,8,0,0,34,27,1,2,35,34,0,3,0,152,98,66,59.8
53,Gil Bastião Dias,pt POR,"MF,DF",Granada,1,0,0,8,1,0,4,3,14,0,0,0,23,5,9,35.7
54,Fran Beltrán,es ESP,MF,Celta Vigo,2,1,0,12,11,1,17,14,19,0,1,0,114,8,30,21.1
55,Hatem Ben Arfa,fr FRA,"MF,FW",Valladolid,1,0,0,2,0,1,0,0,0,0,0,0,6,2,0,100
56,Karim Benzema,fr FRA,FW,Real Madrid,0,0,0,21,15,27,23,7,8,0,0,0,71,29,38,43.3
57,Yuri Berchiche,es ESP,DF,Athletic Club,7,0,0,32,49,2,106,30,35,0,2,0,211,54,24,69.2
58,Markel Bergara,es ESP,MF,Getafe,2,0,0,3,0,0,2,0,0,0,0,0,2,1,2,33.3
59,Sergio Bermejo,es ESP,"MF,FW",Celta Vigo,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
60,Pedro Bigas,es ESP,DF,Eibar,2,0,0,9,19,2,9,36,9,0,1,0,87,65,39,62.5
61,Rubén Blanco,es ESP,GK,Celta Vigo,4,0,0,1,4,0,0,0,1,0,1,0,18,8,1,88.9
62,Pablo de Blasis,ar ARG,"DF,MF",Eibar,1,0,0,17,12,1,85,24,32,0,1,0,116,24,44,35.3
63,Alejandro Blesa,es ESP,MF,Levante,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0
64,Yassine Bounou,ma MAR,GK,Sevilla,1,0,0,0,1,0,0,0,0,0,0,0,11,2,0,100
65,Filip Bradari?,hr CRO,MF,Celta Vigo,2,1,0,14,5,0,4,17,9,0,0,0,50,11,15,42.3
66,Martin Braithwaite,dk DEN,"FW,MF",Barcelona,1,0,0,8,7,1,4,1,2,0,0,0,9,5,6,45.5
67,Martin Braithwaite,dk DEN,"FW,MF",Leganés,3,0,0,30,31,9,10,4,7,0,0,0,57,50,73,40.7
68,Brandon,es ESP,FW,Osasuna,4,0,0,6,6,0,4,0,3,0,0,0,19,5,12,29.4
69,Darko Brasanac,rs SRB,MF,Osasuna,8,0,0,57,21,4,16,20,25,1,0,0,129,45,75,37.5
70,Yan Brice Eteki,cm CMR,MF,Granada,4,0,0,51,32,0,0,24,21,0,0,0,101,26,28,48.1
71,Bryan,es ESP,"MF,FW",Leganés,2,0,0,10,12,4,31,3,4,0,0,0,40,2,7,22.2
72,Bryan,es ESP,FW,Sevilla,2,0,0,1,0,0,2,0,1,0,0,0,4,0,2,0
73,Ante Budimir,hr CRO,FW,Mallorca,12,0,0,67,60,16,6,8,15,1,0,0,52,153,177,46.4
74,Esteban Burgos,ar ARG,DF,Eibar,3,0,0,8,4,0,1,17,9,0,0,0,57,30,14,68.2
75,Burgui,es ESP,MF,Alavés,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,
76,Oliver Burke,sct SCO,"MF,FW",Alavés,2,0,0,19,11,1,17,8,14,0,0,0,53,40,39,50.6
77,Sergio Busquets,es ESP,MF,Barcelona,9,0,0,46,51,0,1,44,44,0,1,0,219,38,33,53.5
78,Unai Bustinza,es ESP,DF,Leganés,8,0,0,49,56,3,46,65,40,0,1,0,124,79,61,56.4
79,Erick Cabaco,uy URU,DF,Getafe,0,0,0,7,1,0,3,3,2,0,0,0,13,12,5,70.6
80,Erick Cabaco,uy URU,DF,Levante,4,0,0,7,7,0,2,12,9,0,0,0,48,19,16,54.3
81,Ariday Cabrera,es ESP,MF,Mallorca,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,
82,Leandro Cabrera,uy URU,DF,Getafe,3,0,0,16,9,1,7,21,6,0,0,0,68,55,43,56.1
83,Leandro Cabrera,uy URU,DF,Espanyol,2,0,0,10,7,1,8,21,11,0,0,0,85,46,27,63
84,Fernando Calero,es ESP,DF,Espanyol,4,1,0,7,6,0,0,8,9,0,0,0,49,14,21,40
85,Jonathan Calleri,ar ARG,FW,Espanyol,6,1,1,47,51,7,22,7,8,0,0,0,43,127,120,51.4
86,Víctor Camarasa,es ESP,MF,Alavés,1,0,0,14,15,2,25,15,10,0,0,0,78,10,15,40
87,Sergio Camello,es ESP,FW,Atlético Madrid,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,100
88,José Campaña,es ESP,MF,Levante,4,1,1,28,59,2,172,44,25,0,1,0,225,40,39,50.6
89,Xisco Campos,es ESP,DF,Mallorca,2,0,0,8,3,1,3,11,4,0,0,0,20,18,14,56.3
90,Víctor Campuzano,es ESP,FW,Espanyol,2,0,0,24,17,14,8,2,9,0,0,0,28,14,39,26.4
