,,,,,Performance,,,,,,,,,Performance,,,,Aerial Duels,,
Rk,Player,Nation,Pos,Squad,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
1,Luis Abram,pe PER,DF,Granada,2,0,0,5,4,0,0,5,3,0,0,1,14,7,14,33.3
2,Marcos Acuña,ar ARG,DF,Sevilla,10,0,0,38,48,0,178,14,29,0,1,0,173,22,32,40.7
3,Martin Agirregabiria,es ESP,DF,Alavés,4,0,0,24,22,1,45,25,22,0,1,0,79,31,27,53.4
4,Julen Agirrezabala,es ESP,GK,Athletic Club,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
5,Sergio Agüero,ar ARG,FW,Barcelona,0,0,0,1,2,1,3,0,1,0,0,0,3,3,2,60
6,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
7,Joseph Aidoo,gh GHA,DF,Celta Vigo,1,0,0,10,18,1,3,38,26,0,0,1,164,62,47,56.9
8,Carlos Akapo,gq EQG,DF,Cádiz,4,0,0,23,25,2,45,51,31,0,1,0,112,37,32,53.6
9,Ilias Akhomach,es ESP,FW,Barcelona,0,0,0,3,4,0,6,0,0,0,0,0,11,1,2,33.3
10,Paul Akouokou,ci CIV,MF,Betis,2,1,0,13,2,0,1,11,9,0,0,0,42,6,2,75
11,David Alaba,at AUT,DF,Real Madrid,2,0,0,16,6,2,40,22,13,0,0,0,141,14,22,38.9
12,Tomás Alarcón,cl CHI,MF,Cádiz,5,0,0,19,9,1,64,30,20,0,2,0,107,15,19,44.1
13,Jordi Alba,es ESP,DF,Barcelona,11,0,0,26,19,11,121,33,34,0,0,0,214,13,23,36.1
14,Raúl Albiol,es ESP,DF,Villarreal,8,0,0,18,12,2,3,21,15,0,0,0,137,41,27,60.3
15,Paco Alcácer,es ESP,FW,Villarreal,1,0,0,5,7,8,1,6,3,0,0,0,28,10,25,28.6
16,Rubén Alcaraz,es ESP,MF,Cádiz,7,0,0,30,35,1,23,13,20,0,1,0,86,22,23,48.9
17,Omar Alderete,py PAR,DF,Valencia,15,0,0,42,7,0,4,35,34,0,2,0,158,69,39,63.9
18,Iván Alejo,es ESP,"MF,FW",Cádiz,7,0,0,37,33,5,97,8,15,0,1,0,74,11,12,47.8
19,Carles Aleñá,es ESP,MF,Getafe,6,1,0,50,37,1,44,15,19,0,0,0,129,13,25,34.2
20,Mircea Alexandru Tirlea,ro ROU,DF,Alavés,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0
21,Hugo Álvarez,es ESP,FW,Celta Vigo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,Yeray Álvarez,es ESP,DF,Athletic Club,6,0,0,23,13,1,3,45,14,0,0,0,141,56,41,57.7
23,Dani Alves,br BRA,DF,Barcelona,2,1,0,27,6,0,75,11,19,0,1,0,98,9,8,52.9
24,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,0,0,0,1,1,0,4,0,0,0,0,0,4,2,2,50
25,Amath,sn SEN,"FW,MF",Mallorca,5,0,0,19,18,6,7,7,11,0,0,0,34,5,20,20
26,Florin Andone,ro ROU,FW,Cádiz,1,0,0,3,2,3,0,0,1,0,0,0,6,7,11,38.9
27,José Ángel,es ESP,DF,Osasuna,2,1,0,10,5,0,46,10,13,0,0,0,78,10,6,62.5
28,Josep Antoni Gayá,es ESP,DF,Mallorca,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
29,Mauro Arambarri,uy URU,MF,Getafe,13,0,0,51,48,0,116,32,37,0,1,0,182,27,26,50.9
30,Néstor Araujo,mx MEX,DF,Celta Vigo,4,0,0,19,10,0,3,27,14,0,0,1,160,63,48,56.8
31,Ronald Araújo,uy URU,DF,Barcelona,6,0,0,25,12,1,7,23,23,0,0,0,135,60,24,71.4
32,Jesús Areso,es ESP,DF,Osasuna,1,0,0,3,4,0,2,0,3,0,0,0,6,3,6,33.3
33,Matias Arezo,uy URU,"FW,MF",Granada,1,0,0,3,1,0,4,1,3,0,0,0,3,7,5,58.3
34,Santiago Arias,co COL,DF,Granada,1,0,0,6,5,2,15,5,5,0,0,0,23,9,14,39.1
35,Santiago Arzamendia,py PAR,MF,Cádiz,2,0,0,6,4,1,18,4,6,0,0,0,36,12,19,38.7
36,Sergio Asenjo,es ESP,GK,Villarreal,1,0,0,0,0,0,0,1,0,0,0,0,17,2,0,100
37,Alejandro Asensio,es ESP,FW,Rayo Vallecano,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,100
38,Marco Asensio,es ESP,"FW,MF",Real Madrid,2,0,0,8,20,2,71,12,8,0,0,0,83,0,9,0
39,Iago Aspas,es ESP,FW,Celta Vigo,9,0,0,22,50,20,108,11,7,0,1,0,113,22,32,40.7
40,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,0,0,0,7,7,7,5,2,2,0,0,0,17,7,13,35
41,Ludwig Augustinsson,se SWE,"DF,FW",Sevilla,3,0,0,13,10,0,47,5,14,0,0,0,41,15,7,68.2
42,Serge Aurier,ci CIV,DF,Villarreal,4,0,0,15,6,1,27,11,9,0,1,0,52,21,16,56.8
43,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,9,1,1,31,40,13,79,13,7,0,1,0,77,50,70,41.7
44,Iddrisu Baba,gh GHA,MF,Mallorca,9,0,0,42,38,0,5,24,30,0,0,0,187,41,34,54.7
45,Carlos Bacca,co COL,FW,Granada,3,0,0,3,8,5,4,1,4,1,0,0,12,8,16,33.3
46,Édgar Badía,es ESP,GK,Elche,2,0,0,0,1,0,0,0,0,0,0,0,44,8,3,72.7
47,Miguel Baeza,es ESP,DF,Celta Vigo,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
48,Alejandro Balde,es ESP,"DF,FW",Barcelona,0,0,0,4,4,0,6,1,1,0,0,0,13,0,2,0
49,Gareth Bale,wls WAL,FW,Real Madrid,2,0,0,3,0,1,3,2,1,0,0,0,4,7,5,58.3
50,Mikel Balenziaga,es ESP,DF,Athletic Club,2,0,0,21,12,1,51,21,24,0,0,0,125,33,18,64.7
51,Iván Balliu,al ALB,DF,Rayo Vallecano,10,1,0,42,57,4,111,39,22,0,3,0,166,23,33,41.1
52,Barbero,es ESP,"FW,MF",Osasuna,0,0,0,2,1,0,0,0,0,0,0,0,0,2,2,50
53,Barcia,es ESP,DF,Granada,0,0,0,0,0,0,0,1,0,0,0,0,6,1,1,50
54,Enis Bardhi,mk MKD,"MF,FW",Levante,3,0,0,33,44,4,87,10,12,0,1,0,95,6,8,42.9
55,Keidi Bare,al ALB,MF,Espanyol,9,0,0,25,29,0,7,15,17,1,0,0,90,13,30,30.2
56,Kike Barja,es ESP,"MF,FW",Osasuna,2,0,0,17,23,0,55,9,11,0,0,0,65,9,11,45
57,Antonio Barragán,es ESP,DF,Elche,5,0,0,19,17,0,33,17,14,0,2,0,54,8,2,80
58,Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,0,0,0,10,16,1,8,2,10,0,0,0,39,4,4,50
59,Marc Bartra,es ESP,DF,Betis,5,0,0,21,16,0,0,33,14,0,0,0,99,59,36,62.1
60,Álvaro Bastida,es ESP,MF,Cádiz,1,0,0,1,0,0,0,3,4,0,0,0,12,1,8,11.1
61,Rodrigo Battaglia,ar ARG,MF,Mallorca,4,0,0,28,18,0,1,10,16,0,1,0,82,32,24,57.1
62,Jon Bautista,es ESP,MF,Real Sociedad,0,0,0,1,2,1,0,1,0,0,0,0,3,1,0,100
63,Bebé,cv CPV,FW,Rayo Vallecano,2,0,0,12,16,6,87,3,5,1,0,0,47,8,14,36.4
64,Héctor Bellerín,es ESP,DF,Betis,2,1,0,23,14,2,42,23,32,0,0,1,95,27,19,58.7
65,Fran Beltrán,es ESP,MF,Celta Vigo,4,0,0,17,25,0,17,32,41,0,0,0,207,16,40,28.6
66,Darío Benedetto,ar ARG,"FW,MF",Elche,1,0,0,3,6,3,6,1,1,0,0,0,12,10,14,41.7
67,Iker Benito,es ESP,"FW,MF",Osasuna,1,0,0,1,3,0,4,0,1,0,0,0,4,1,1,50
68,Pedro Benito,es ESP,FW,Cádiz,0,0,0,3,0,0,1,0,0,0,0,0,0,0,4,0
69,Karim Benzema,fr FRA,FW,Real Madrid,0,0,0,13,9,31,10,4,9,0,0,0,44,18,30,37.5
70,Yuri Berchiche,es ESP,DF,Athletic Club,3,0,0,7,19,0,33,13,11,0,0,0,81,21,8,72.4
71,Álex Berenguer,es ESP,MF,Athletic Club,8,0,0,44,46,14,145,16,26,0,0,0,105,49,58,45.8
72,Pedro Bigas,es ESP,DF,Elche,6,0,0,16,11,0,2,18,10,0,0,0,73,35,11,76.1
73,Blanco,es ESP,MF,Real Madrid,0,0,0,1,0,0,0,1,0,0,0,0,4,0,1,0
74,Yassine Bounou,ma MAR,GK,Sevilla,2,0,0,0,3,0,0,0,0,0,0,0,29,7,1,87.5
75,Lucas Boyé,ar ARG,FW,Elche,3,0,0,39,40,13,7,2,13,0,0,0,65,31,53,36.9
76,Martin Braithwaite,dk DEN,FW,Barcelona,0,0,0,5,2,2,2,1,1,0,0,0,7,3,6,33.3
77,Darko Brasanac,rs SRB,MF,Osasuna,8,0,0,52,24,9,27,25,22,0,0,0,143,33,59,35.9
78,Claudio Bravo,cl CHI,GK,Betis,2,0,0,1,1,0,0,0,0,0,1,0,20,6,1,85.7
79,Yan Brice Eteki,cm CMR,MF,Granada,3,0,0,18,5,0,0,4,3,0,0,0,21,7,7,50
