,,,,,Performance,,,,,,,,,Performance,,,,Aerial Duels,,
Rk,Player,Nation,Pos,Squad,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
1,Aly Abeid,mr MTN,DF,Levante,0,0,0,1,0,0,2,3,1,0,0,0,5,1,2,33.3
2,Antonio Adán,es ESP,GK,Betis,4,0,0,1,3,0,0,0,0,0,0,0,41,4,1,80
3,Aday,es ESP,DF,Girona,10,0,0,39,15,6,134,25,15,0,0,1,97,37,16,69.8
4,Aritz Aduriz,es ESP,FW,Athletic Club,5,0,0,42,39,35,20,3,8,0,0,0,45,99,77,56.3
5,Martin Agirregabiria,es ESP,DF,Alavés,4,0,0,19,18,0,50,41,33,0,0,0,120,17,13,56.7
6,Imanol Agirretxe,es ESP,FW,Real Sociedad,0,0,0,1,4,1,1,0,0,1,0,0,6,8,10,44.4
7,Matías Aguirregaray,uy URU,DF,Las Palmas,3,0,0,19,21,1,19,24,20,0,0,0,87,14,17,45.2
8,Ager Aketxe,es ESP,MF,Athletic Club,1,0,0,1,0,0,7,1,1,0,0,0,6,0,1,0
9,David Alba,es ESP,DF,Getafe,0,0,0,3,0,0,0,0,1,0,0,0,3,1,2,33.3
10,Jordi Alba,es ESP,DF,Barcelona,7,0,0,35,21,16,46,68,42,0,0,0,189,15,21,41.7
11,Raúl Albentosa,es ESP,DF,La Coruña,5,0,0,15,14,1,2,26,6,0,1,0,73,39,18,68.4
12,Paco Alcácer,es ESP,"MF,FW",Barcelona,0,0,0,2,9,7,6,11,3,0,0,0,28,7,17,29.2
13,Pedro Alcalá,es ESP,DF,Girona,4,0,0,11,3,2,4,14,5,0,0,0,26,19,11,63.3
14,Steve Aldo One,cm CMR,DF,La Coruña,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,100
15,Álex Alegría,es ESP,FW,Levante,1,0,0,16,18,5,2,4,5,0,0,0,16,24,24,50
16,Iván Alejo,es ESP,"MF,FW",Eibar,5,0,0,25,45,3,109,5,16,0,0,0,67,10,13,43.5
17,Alexander,ar ARG,"MF,FW",Leganés,1,0,0,19,18,8,40,22,11,1,0,0,56,2,4,33.3
18,Alexis,es ESP,DF,Alavés,6,0,0,20,14,2,6,30,24,0,0,1,112,28,18,60.9
19,José Alonso Lara,es ESP,MF,Sevilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,Sergio Álvarez,es ESP,GK,Celta Vigo,0,0,0,0,5,0,0,0,0,0,0,0,25,5,1,83.3
21,Yeray Álvarez,es ESP,DF,Athletic Club,2,0,0,12,10,0,1,11,7,0,0,0,66,13,12,52
22,Eloi Amagat,es ESP,MF,Girona,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
23,Jordi Amat,es ESP,"DF,MF",Betis,7,2,1,38,10,0,0,38,23,0,2,1,112,29,30,49.2
24,Amath,sn SEN,"MF,FW",Getafe,9,0,0,72,62,10,21,33,53,0,0,0,183,19,47,28.8
25,Nordin Amrabat,ma MAR,"FW,MF",Leganés,6,1,1,54,36,25,61,5,10,0,1,0,76,12,23,34.3
26,Jon Ander Serantes,es ESP,GK,Leganés,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,Florin Andone,ro ROU,FW,La Coruña,6,0,0,59,19,17,17,3,7,0,0,0,50,32,70,31.4
28,Miguel Ángel Guerrero,es ESP,FW,Leganés,3,0,0,36,23,13,1,9,5,0,0,0,37,42,41,50.6
29,José Ángel,es ESP,DF,Eibar,4,0,0,20,17,1,226,38,44,0,0,0,187,36,29,55.4
30,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,0,0,0,1,0,0,0,2,0,0,1,0,22,2,0,100
31,Miguel Ángel Rubio,es ESP,DF,Getafe,0,0,0,1,1,0,0,0,0,0,0,0,2,3,1,75
32,Vitorino Antunes,pt POR,DF,Getafe,14,0,0,50,36,1,149,58,44,0,0,0,172,18,23,43.9
33,Alberto Aquilani,it ITA,MF,Las Palmas,4,0,0,18,14,1,7,23,19,0,0,0,94,11,13,45.8
34,Mauro Arambarri,uy URU,MF,Getafe,9,1,1,49,42,0,6,25,41,0,0,0,166,17,31,35.4
35,Guilherme Arana,br BRA,DF,Sevilla,0,0,0,2,2,0,3,5,2,0,0,1,19,2,3,40
36,Sergio Araujo,ar ARG,"MF,FW",Las Palmas,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0
37,Anaitz Arbilla,es ESP,DF,Eibar,8,0,0,26,11,0,11,78,30,0,2,1,238,44,35,55.7
38,José Arnaiz,es ESP,MF,Barcelona,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,
39,Alejandro Arribas,es ESP,DF,La Coruña,0,0,0,5,2,0,0,6,2,0,1,1,15,2,4,33.3
40,Kepa Arrizabalaga,es ESP,GK,Athletic Club,3,0,0,1,7,0,0,2,0,0,1,0,47,5,1,83.3
41,Aythami Artiles,es ESP,DF,Las Palmas,0,0,0,0,1,0,0,2,2,0,0,0,9,5,0,100
42,Sergio Asenjo,es ESP,GK,Villarreal,3,0,0,2,3,0,0,0,2,0,1,0,32,7,1,87.5
43,Marco Asensio,es ESP,"FW,MF",Real Madrid,2,0,0,9,27,3,106,9,17,0,0,0,77,3,3,50
44,Iago Aspas,es ESP,FW,Celta Vigo,9,0,0,23,62,11,62,23,22,1,0,0,137,15,40,27.3
45,Carlos Bacca,co COL,FW,Villarreal,9,0,0,22,20,40,11,8,2,0,0,0,54,23,38,37.7
46,Cédric Bakambu,cd COD,FW,Villarreal,5,0,0,40,19,11,12,3,7,0,0,0,38,17,41,29.3
47,Zakaria Bakkali,be BEL,"FW,MF",La Coruña,5,0,0,14,20,4,36,4,10,0,0,0,46,4,11,26.7
